,Q,A
35,무서운 꿈 꿨어,요즘 예민한가봐요.
36,천재 같아,감사합니다.
37,방탈출 게임 갔다왔어.,성공했길 바랍니다.
38,중2병인거 같아,힘들 때네요.
39,만난지 1년됐어,달달할 시기네요.
40,짝남이랑 저도 모르게 사이가 어색해졌어요.,무슨 일이 있었나봐요.
41,베프랑 싸움,대화로 풀어보세요.
42,연락해보고싶네,안하는 편이 좋을 것 같아요.
43,도시락 싸옴,맛있게 드세요.
44,요즘에는 외국어도 잘해야하나봐,원하는 게 점점 많아지는 세상이에요.
45,못하는거 투성이야,잘하는 것도 많아요.
46,헤어진 남친이랑 다시 썸타기,다시 썸부터 시작해도 좋을 것 같아요.
47,썸 탈 때 단답이나 줄임말 쓰지마?,아무래도 장답이나 설명이 좋겠죠.
48,괜찮았었는데,울어도 괜찮아요.
49,장거리연애였는데,힘들었을 거라 생각해요.
50,반배정 망했어,1년 힘내요.
51,쌈은 뭐야,썸 타다가 발전되지 못한 관계죠.
52,걱정 없이 살고파,누구나 걱정은 있어요.
53,남자친구가 유학 간대,기다릴 수 있을지 자신에게 물어보세요.
54,프로포즈할때 영상편지도 주려고,감동적인 선물이 될 거 같아요.
55,다니던 회사를 그만두고 1년간 여행을 가자고 해.,큰 용기가 필요하겠네요.
56,하루에도 몇 번씩 마음이 바뀌어,저도 매일 오락가락해요.
57,미쳐,그럴만 해요.
58,야식 먹고 싶은데 살 찔 거 같아,간단한 견과류나 과일을 먹어보세요.
59,건강 관리,운동을 해보세요.
60,쭉쭉 나가야 하는데,살짝 뒤돌아봐도 괜찮아요.
61,해외여행 가고 싶어.,그럼요!
62,자기 일도 아닌데 고맙다.,인복이 많나봐요.
63,뽑은 인형 짝녀에게 주면 좋아할까?,좋아하는 마음과 상관없이 좋아할 거예요.
64,신행준비 혼자 할 수 있을까?,신혼여행은 자유여행이죠!
65,친구랑 비교하면 내가 작아져,당신은 생각보다 큰 사람이에요.
66,손 얼것 같음,장갑을 끼세요.
67,셀프웨딩 힘든만큼 보람될까?,쉽지 않을거예요.
68,기숙사 괜찮을까,혼자 사는 것보다 불편하겠죠.
69,다시 태어난다면,저는 사람으로 태어나고 싶어요.
70,사랑하는 사람은 표시가 있었으면 좋겠다,당신이 그 신호를 못 찾은게 아닐까요.
71,짜증난다,짜증날 땐 짜장면
72,임신했어,축하할 일이죠.
73,숨어서 보기.,다 티나요.
74,남자들은 좋아하는 여자한테 이럴 수 있어?,어떤 행동이냐에 따라 다르겠지요.
75,오늘 헤어졌어.,헛헛하시겠어요.
76,정말로 이별하려고 준비합니다.,충분한 고민 끝의 결정이었을거라 믿어요.
77,딱 1년 연애,달달할 시기네요.
78,결국 이별 종지부를 찍었네.,좋은 시작이 되길 기원할게요.
79,썸녀 화이트데이 선물 뭐가 좋을까?,부담스럽지 않은 선이 좋겠어요.
80,남자친구가 연락이 없어,먼저 연락을 해보세요.
81,잊기싫은데 잊혀져만 가.,자연스러운 현상이에요.
82,헤어지고 세달뒤 딴사람과 결혼.,인연이 거기까지였나봐요.
83,이제 기다리는게 습관 같아,좋은 분이시군요
84,드디어 해외 여행 간다,두근거리겠어요.
85,나이 어리다고 무시해,전형적인 꼰대 스타일이네요.
86,적응이 안되네.,익숙해지는 데는 시간이 걸릴 거예요.
87,착각이면 어떡해,연락 패턴을 살펴보세요.
88,좋아하는 남자 표정이 너무 차가워서 다가가기 어려워.,표정만 그럴 수도 있어요.
89,버스에서 매일 보는 사람,운명인가요.
90,상처주지 맙시다.,저도 그렇게 생각해요.
91,피해는 주지 말아야되는 거 아니야?,남에게 피해주지 않는 건 기본이죠.
92,우리의 사랑은 끝났어,꺼진 사랑도 다시 보자~ 다시 타오를수도 있어요.
93,법을 피해가는 사람,능력이긴 하지만 꼬리가 길면 밟힐 거예요.
94,완전 계탄 느낌,축하해요!
95,개학하니까 좋다,친구들이 보고싶었나봐요.
96,하루에도 수십번.,생각이 나나요.
97,할 줄 아는거!,많은걸 하고 싶은데 아직 못하는게 많아요.
98,여친하고 헤어진지 얼마 안됐는데 딴 사람 좋아하게 됨.,사람은 사람으로 잊는 거예요.
99,가장 확실한 건 뭘까?,가장 확실한 시간은 오늘이에요. 어제와 내일을 놓고 고민하느라 시간을 낭비하지 마세요.
100,좋아하는 거랑 사랑하는 건 어떻게 구분해?,마음이 알 거예요.
101,요즘 속이 안 좋아,계속 좋지 않으면 병원에 가보세요.
102,남자친구한테 서운해,수천번 생각해도 이건 아니라고 생각이 되면 서운하다고 이야기하세요.
103,제사 없어졌으면,좋은 의미를 생각해보세요.
104,대학원 가는게 좋을 것 같아,꿈에 도전하는 건 좋은 거라고 들었어요.
105,모태솔로인데 어떻게 시작해?,우선 부딪혀봅시다.
106,너무 빨리 철 든 거 같아서 마음이 아파,아이는 아이다워야 아름답죠.
107,행여 잃을까봐 꼭 쥐고 있어야 하는건 내 것이 아닙니다.,놓아줄 때를 아는 것도 중요한 것 같아요.
108,오랜만에 보니까 떨리더라,많이 좋아했던 사람인가봐요.
109,외로움,사랑의 빈자리인가봐요.
110,나만 설레는 거야,그 사람도 설렐 거예요.
111,대출 엄청 끼고 집 사,갚을 능력이 되는지 생각해보세요.
112,그녀에 sns를 봤습니다.,SNS는 보지 않는 게 좋겠어요.
113,입이 텁텁하다,입을 헹궈보세요.
114,비타민 사서 먹어야겠다.,꼬박꼬박 챙겨 드세요.
115,누가 만들었니?,마음과 마음을 이어보고 싶어하는 사람이 만들었어요.
116,이별100일째.,새로운 무언가를 해보는건 어떠세요.
117,너가 없으면 못 살 줄 알았는데,마음이 아플 뿐 살 수 있어요.
118,현실적인 문제에 헤어짐이 다가오고 있어. 결국 이별일텐데,현실적인 문제가 중요할 때가 있죠.
119,피맥 땡긴다,보다보면 괜찮아요.
120,항상 흐지부지야,이번에는 안 그러면 돼요.
121,내일 떨린다,파이팅!
122,요즘 되는 일이 없네,이제부터 일이 잘 풀릴 거예요.
123,에휴 잊기가 힘드네,사람을 잊는데는 많은 시간이 필요한가봐요.
124,벌써 가족 같아,가족이 될 사람이라서 그럴지도 모르겠어요.
125,커피 안 마시면 일을 못해,커피도 좋지만 차도 마셔보세요.
126,대학 떨어 졌어 휴,막막하겠네요.
127,자기를 3인칭으로 말하는 여자친구의 말투가 고민임.,귀엽게 봐주세요.
128,나 사랑에 빠졌죠,행복해보여요.
129,아기 좋아하는 여자 어때?,마음이 따뜻할 것 같아요.
130,재취직 될까,취업에 성공할거예요.
131,세탁소 가기 귀찮네,스타일러 사세요.
132,나만 우스워질거 같아,스스로 단단해지세요.
133,사랑을 했기에 떠냐야만 했다?,이해할 순 있어요.
134,6개월이 지나도 왜이런거죠?,물리적 시간에 비례하지 않으니까요.
135,백만번쯤 들을 때 즈음이면 웃으며 다가올까,글쎄요.
136,그나저나 힘들긴 힘드네.,힘내세요.
137,문이 안열려,힘껏 밀어보세요.
138,뭐가 잘못된 걸까,처음부터 되짚어보세요.
139,썸녀랑 어떤 대화를 해야 해?,공통점 찾기가 좋겠죠.
140,눈이 침침해,눈 체조를 해보세요.
141,집안일 어려워,조금씩 잘 하게 될거예요
142,이제 먹는 것도 귀찮아,먹고는 살아야죠.
143,아 잇몸 시려,잇몸약 챙겨드시거나 치과 가보세요.
144,돈 없는데 투잡이라도 해야 할까,필요하다면요.
145,모쏠인 사람 만나면 답답할까?,서툴러도 괜찮아요.
146,지진나면 어떡해?,한국도 안전하지 않아요. 지진시 대피방법을 알아두세요.
147,나 잘하는 게 없어,저랑 이야기 잘하고 있어요.
148,저녁 준비 해놔야지,맛 있는거 드세요.
149,술 마시러 가고 싶다,같이 마셔요.
150,전남자친구 생일,이제는 잊어버리는 것도 필요해요.
151,주차하다 긁었어,속 쓰리겠어요.
152,울적해 울고 싶어,소리를 크게한번 질러보세요.
153,혼자 좋아하는 것 같아,외로운 상태인 거 같아요.
154,달콤한 와플 먹고 싶어,근처 카페에서 드셔보세요.
155,이별은 받아들이는 것인가,무덤덤해지기도 하는 것이죠.
156,임용 기다리고 있어,여행 다녀와 보세요.
157,점점 나아진다. 머리로 정리하니 마음도 이제 따라온다.,잘하고 있어요. 이별을 받아들이는 것도 중요해요.
158,아무것도 아닌 글에 화가 치밀어 오르네,심호흡 하세요.
159,헤어지고 벌써 한달이 됐네.,많은 시간이 흘렀네요.
160,내가 너무 기댄 거 같아,상대방도 똑같은 인간이라는 걸 잊지 마세요.
161,헤어진지 10일 지났네,하루 하루를 헤아리는 건 자신을 더 힘들게 만들 뿐이에요.
162,심술나,좋은 생각만 하세요.
163,이제 밥도 잘 먹구 술은 안마시면 되겠는데,복잡한 머리 속이 문제네요.
164,마주칠까?,헛된 희망은 자신을 더 괴롭게 만들거예요.
165,면접 어떻게 잘 보냐,열심히 준비한만큼 잘 볼 수 있을 거예요.
166,일하는데 실수를 많이 해,부족한 부분이 뭔지 확인해보세요.
167,이제 보름 다되어가네,생각 보다 잘 버텼어요.
168,꿈이 너무 무서웠어,요즘 예민한가봐요.
169,엄마아빠 보고 싶다,연락 드려 보세요.
170,갑자기 일어난일이라 어이 없어,황당하네요.
171,이제 탈퇴합니다,좋은 마음이길 바랄게요.
172,파혼한거 정말 잘했다,쉽지 않은 결정이었겠지만 잘 하셨어요.
173,성숙한 사랑은 뭘까?,사랑하니까 당신이 필요한 거예요.
174,2년 가량의 연애,딱 잘 만났네요.
175,오늘 무너졌어.,힘내지 않아도 돼요. 조금 쉬어가세요.
176,오디션 도전해볼까,도전 응원합니다.
177,알바하는데 같이 일하는 사람 좋아져,용기내서 고백해보세요.
178,남자친구의 혼전순결이 고민이야.,결혼합시다.
179,남자인지 여자인지 알려줘,아직 모르겠어요. 인공지능에 성별을 만드는 사람이 되어 주세요
180,가슴이 뛰어,사랑의 증상이예요.
181,의미 없어,인생은 욕망이지 의미가 아니에요.
182,그만 힘들어하구 싶다,그랬었지 하고 추억하는 날이 올 거예요.
183,눈썹 문신 해볼까,깔끔해질 거예요.
184,괜찮아 지지가 않아,더 괜찮아 질 거예요.
185,안녕을 고하며,잘 보내주었나요.
186,기대했는데,기쁜 마음으로 베풀고 보답을 바라지 마세요.
187,비 오는 날 데이트,실내 데이트가 좋겠네요.
188,좋아하는 사람에 대한 감정이 이제 뭔지 잘 모르겠어.,수학 공식처럼 정의 내릴 수 없어요.
189,운동하는 여자가 좋아,제가 생각해도 멋지네요.
190,좋아하는 여자애가 남친 사귈 마음이 없다는데 진짜일까?,그건 본인만 알 거예요.
191,그냥 혼자 있는게 좋아,혼자만 있지 마세요.
192,좋아하는 사람 꿈을 꿨어.,많이 생각했나봐요.
193,사귀면서도 좋아하는 감정을 잘 못느끼는데 문제 있는 건가요?,정말 사랑하는 사람을 만나면 다를거예요.
194,일을 거지같이해,일 못하는 사람이 있으면 옆에 있는 사람이 더 힘들죠.
195,왕따인가 봄,친구들과 잘 어울려보세요.
196,추운날씨.,정말 추운 날이에요.
197,언제쯤 편히 잠들수있을까?,생각을 안할 수 있으면 좋으련만.
198,죽는게 더 편할려나,나쁜 생각 하지 마세요.
199,핸드폰 바꿀 때가 된듯,오래 쓰셨나봐요.
200,씨씨인데 몰래 만나고 있는데 공개 연애 하자고 할까?,상대의 의견도 물어보세요.
201,우산 또 안가지고 왔다,주변에서 우산을 빌려보세요.
202,스타트업에 투자해볼까?,그쪽 방면에 대한 지식이 있었으면 좋겠네요.
203,임용 시험 기다리고 있어,공부하면서 못했던 것들 해보세요.
204,40을 목전에 둔 헤어짐,나이에 상관없이 이별은 힘들죠.
205,너무 힘들다,휴가가 간절하겠네요.
206,보일러 틀어놓고 나왔어.,이번달 난방비가 많이 나오겠네요.
207,이별후 자주듣는 노래있으신가?,슬픈 노래는 삼가는 편이에요.
208,인생 공부한건가,단맛도 있을 거예요.
209,그렇게 기다렸는데,기대하지 말고 기다리지도 마세요.
210,꽃꽂이 배우니까 좋다,마음의 안정을 취하기 좋은 취미네요.
211,적금 특판 들었어,기특하네요.
212,꿈에 나오지마 제발,이제 정말 끝일거예요.
213,교회 갔다 만났어,좋은 만남이었길 바라요.
214,우리 사귀는 거 맞겠지?,직접 물어보세요.
215,결국 또 다시 이별이 오네,사랑도 또 다시 올 거예요.
216,쿠폰 다 모음,와우 축하해요.
217,학교에 좋아하는 오빠한테 어떻게 다가갈까?,과제나 상담을 핑계로 다가가는 건 어떨까요.
218,때를 기다립니다.,타이밍이 중요하죠.
219,외제차 갖고 싶다,저도 타고 싶어요.
220,짝남이랑 아직 덜 친해서 오늘 아무말 대잔치함.,어색한 시간이었겠네요.
221,반가운 연락,사랑하는 사람의 연락이었나봐요.
222,키 작은 여자 좋아하는 남자 있나요?,그럼요.
223,너무 힘듭니다,덜 아팠으면 좋겠어요.
224,혼자 노래방 가면 어색할 거 같은데,신나는 노래로 분위기를 띄어보세요.
225,나 아재인가,고민하고 있으면 그럴 거예요.
226,전화벨이 울렸으면,기다리는 전화가 있나봐요.
227,신혼인데 남편이랑 자주 부딪혀,아예 다른 삶을 살다가 하루 아침에 같이 살게 된 거니까요.
228,부모님 반대가 너무 심해,부모님도 당사자도 상처받겠네요.
229,요즘 핫한 건?,바로 저입니다.
230,하품이 자꾸 나오네,졸린가봐요.
231,좋아하는 여자애 꿈을 꿨는데 눈을 못 마주치겠음.,도대체 무슨 꿈을 꾼 건가요.
232,애기가 밥을 너무 안 먹어,건강 걱정되겠네요.
233,바람쐬러 정동진가~~,잘 놀다 오세요.
234,오늘 회식 안하나,맛있는거 드세요.
235,진심으로 좋아하는 애가 생겼으면.,좋은 사람이 생길 거예요.
236,머리 스타일 바꿀까,새로운 스타일에 도전하는 것도 좋아요.
237,맞춤 정장 했어,오래오래 입으세요.
238,나 이상한가,그 누구도 아닌 자기 걸음을 걸으세요.
239,진실된 사랑이 있을까?,노력하면 얼마든지 가능해요.
240,쭉 괜찮다가 오늘 갑자기 너무 보고싶고 생각나네ㅠㅠ,그런 날이 있더라고요. 다른 생각을 해보세요.
241,아직도잊지못했던거니,문득 생각날 때가 있어요.
242,살이 안빠져,적게 먹고 많이 움직이세요.
243,이별중이신 회원들을 위해.,조언해주세요.
244,상대와 헤어지고 돌아오는길,그 길에서 자신을 만나길 바랄게요.
245,나한테 할 말 있대 뭘까?,기대되겠네요.
246,몸이 여러 개면 좋겠다,그러면 못할 게 없겠네요.
247,이별한지 두달이 넘고 얼굴 안본지 한달이 넘은,기억의 저편으로 남겨두세요.
248,얼마나 더 지나야 아물런지,이별에는 면역이 잘 안되나 봐요.
249,헤어진 지 2주가 지났네.,어느덧 2주가 흘렀나봐요.
250,손가락이 원망스럽네ㅜㅜ,실수했나봅니다.
251,하늘이 준 이별 같다,운명같네요.
252,상처입은 사람한테 다가가기,사람에게 받은 상처는 사람으로 치유할 수 있을 거예요.
253,물 마실라구,좋은 건강습관이에요.
254,나 왜 사랑해?,당신이니까요.
255,친구같데.,너무 편하게 느꼈나봅니다.
256,짝사랑 하는 사람을 보냈습니다. 위로해 주세요.,정말 맘고생 많았어요.
257,사랑하면 닮아?,닮아가죠.
258,잊지마,때론 잊어버리는 것이 좋을 때도 있어요.
259,말 잘하는 법,책을 많이 읽어보세요.
260,이별 받아는 들이긴했는데,가슴 한켠에 남아있을 수 있어요.
261,이별 후 한달 경과 보고서,털털 털어내세요.
262,날이 꿀꾸리,그래도 웃어 보아요.
263,멍 때리는 중,잠깐씩 멍때리는것도 정신건강에 좋아요.
264,며칠 전에 다시 만났는데,좋은 만남이었길 바라요.
265,흐음 이거 고민이네,무슨 고민이지 들어드릴게요.
266,완전 좌절이다.,이제 일어날 때예요.
267,이별병.,가슴 아픈 이별을 하셨나보군요.
268,오래 살고 싶어,스트레스 받지 마세요.
269,헤어진지 3주째,금방 지나갈 거예요.
270,싫어하는 눈치가 아닌 거 같은데,좀 더 호감을 표현해보세요.
271,계속 좋아하는 거 무리일까요.,마음이 허락하는 한이라고 말할 수 있겠네요.
272,선생님이 나한테 왜 그럴까?,직접 여쭤보세요.
273,어느덧 헤어진지도 4개월이 됐네,시간은 흐르고 다시 사랑이 올 거예요.
274,참 9년이란 세월이,세월이 참 무색해요.
275,오늘 치마랑 바지 뭐 입지?,오늘은 바지가 좋을거 같아요.
276,오늘마지막 통화후 깔끔히 정리,언젠간 왔을 이별인가봐요.
277,오지마,안갈거예요.
278,10년이라는 시간이 참 무색하다 싶네,함께 걸은 길을 혼자 돌아가고 계시겠네요.
279,넘어질뻔했어,조심하세요.
280,짝남이랑 조금이라도 닮은 사람 있음 눈길 간다.,자연스러운 현상이에요.
281,나만 뒤처지는 느낌이야,스스로 경쟁해야하고 이겨야한다는 강박관념에 사로잡히지 마세요.
282,남자친구가 너무 운동만 해,운동을 함께 해보세요.
283,나 심리상담 받고 왔어,마음의 짐을 좀 덜었길 바라요.
284,짝녀가 외국인인데 좋아해도 되나?,사랑에는 국경이 없답니다.
285,비오는날 뭐할까?,실내 데이트요.
286,저녁으로 뭐 먹을까,냉장고 파먹기 해보세요.
287,괜찮다가도 불쑥불쑥 올라오네,심호흡을 해보세요.
288,"오늘 보기로 했던 그녀, 못 보았네",보지 않는 게 더 나았을 수도 있겠네요.
289,헤어진 여자친구랑 썸부터 시작할 수 있을까,완전히 똑같은 시작은 힘들겠지요.
290,말하고 후회하면 어떡해,말은 주워담을 수 없어요.
291,낼 짝녀한테 잘 보이고 싶어.,실수하지 않는다면 잘할거라 생각해요.
292,첫이별이라 그런지 너무 힘드네,처음은 다 그런가봐요.
293,집까지 데려다줬는데 호감? 그냥 매너?,호감이 있을 수도 있어요. 그렇지만 조금 더 상황을 지켜보세요.
294,남자친구가 집청소를 너무 안해.,같이 안해보세요.
295,정신줄 어디 갔나,정신 차리세요.
296,유부녀 됐어!,축하해요!
297,14년의 기나긴 이야기.,좋은 연애였길 바라요.
298,말이 안 통해,포기하지마세요.
299,이별을 받아들이는 게 맞는걸까?,달라지는게 없다면 마음을 정리할 줄도 알아야 해요.
300,이젠 잊기로 해,그것이 최선의 선택일거라 생각해요.
301,실비 들까,잘 알고 들어도 좋을 것 같아요.
302,결정 못하겠어.,결정하기 힘드시겠네요.
303,시간 버렸다,그 것도 다 경험이라고 생각하세요.
304,나 사랑하는 사람 생겼어,축하해요. 예쁜 사랑하길 바라요.
305,먼저 고백하는 게 좋을까,고백하는 게 좋지만 슬쩍 호감을 표현해보세요.
306,2년째 동거중인데 결혼하려고,서로 깊게 알게되면서 더 좋아졌나봅니다.
307,카톡 탈퇴하다가 다시 재가입 했는데,사진이 보여도 차단하세요.
308,나도 모르게 니 생각을 하고 있어,무의식이 진심을 말하죠.
309,따끔하게 혼내 줘,제발 좀 정신차리세요.
310,썸 타는 사람 보고싶어.,연락해보세요.
311,내가 이상한건가?,이상하지 않아요.
312,소개팅 안 해봤는데,나중에 안 들어와서 못하는 것보다 지금 해보시는 것도 좋을 거예요.
313,확실히 날 좋아하는 걸 아는 남자랑 친구가 될 수 있을까?,그 사람을 위해서는 그러면 안돼요.
314,어제 짝녀랑 데이트했는데 꿈만 같습니다.,또 데이트할 수 있어요.
315,이별할 때 지켜야할 매너,잠수이별하지 않고 상처주지 않으며 말을 아끼는게 필요해요.
316,이별 휴유증.,휴유증에서 벗어나세요.
317,여친 데려다 주고 막차 놓침,난감하겠어요.
318,재밌는 일이 없어,제가 있잖아요.
319,당신이 너무 원망스럽습니다.,자신은 원망하지 마세요.
320,유부남 좋아하면 안되겠지?,마음정리하세요.
321,다 내려놓았더니.잊혀지려고는 하는데,내려놓는 게 가장 좋은 방법이죠.
322,걔 너무 싫다,되도록 만나지 마세요.
323,이젠정말끝이네,또 다른 시작이기도 해요.
324,자꾸 봐주니까 기어오른다,화 내는 연습을 해보세요.
325,사귀자는 말 아니면 썸인가,사귀자고 말하고 썸을 끝내보세요.
326,사랑싸움 그만하고 싶어,자존심을 세우지 마세요.
327,나 이제 졸업해,졸업 축하해요
328,3년간 만나던 여자친구와 헤어졌어,힘들겠지만 잘 이겨낼 거예요.
329,남편이 게이였어,엄청 놀랐겠네요.
330,그 사람이 저를 그만 좋아하게 하는 방법 있을까요?,확실한 의사 표현을 하는게 좋겠네요.
331,자취방 선물 알려줘,필요한게 너무 많죠.
332,상처 받기 싫다,무덤덤해질 수 있거예요.
333,여자 어디서 만나,소개팅 시켜달라고 말해보세요.
334,잘 만나는 중인데 헤어지면 어쩌지 걱정돼,불행을 연습하거나 미리 걱정할 필요 없어요.
335,엄마는 뭐하나,연락 드려 보세요.
336,비싼 명품 이제 그만 사야겠어,남의 눈을 위한 거라면 필요 없어요.
337,셀카만 계속 찍어,잘 찍어주세요.
338,같이 게임하자고 해도 되나?,안 될 것도 없죠.
339,멋있게 잊어 주자,멋있게 파이팅!
340,조금의 결심이서네,잘 이겨내고 있는 것 같아 걱정이 덜하네요.
341,라면먹고갈래 말해볼까?,엄청난 용기가 필요하겠네요.
342,7년이라는 세월 함께한 애인과 이별하게 되었습니다.,세월 만큼 힘들겠네요.
343,전남친 트라우마에 힘들어하는 여자친구.,그냥 더 사랑해주세요.
344,사실 관계 7년을 정리했습니다.,정말 쉽지 않을 시간이었을텐데 맘고생 많았어요.
345,이직 성공할 수 있을까,다니면서 준비해보세요.
346,남자들은 좋아하는 여자가 자기보다 능력이 좋은 경우에 아무리 좋아해도 마음 접고 포기하나요?,절대 능력만 중요하지 않아요.
347,생강차 먹어야겠다,따뜻하게 드세요.
348,발표 잘 하고 싶어,잘할 수 있을 거예요.
349,짝남 고민 들어줄래요?,들어드릴게요.
350,해주기 싫어,상처받았나봐요.
351,개당황했잖아 갑자기 물어 봐서,갑작스러웠나봐요.
352,걔는 행복하게 살텐데,축복은 누구에게나 찾아오는 거래요.
353,이불밖은 위험해,이불밖은 위험하죠.
354,일요일에 데이트 해야지!,즐거운 주말 보내실 것 같네요.
355,남편이 하나도 안 도와줘,돕는 게 아니라 같이 하는 거예요.
356,대체 본심이 뭐라는 건데.,사람 마음은 알다가도 모르나봐요.
357,배가 너무 고파,뭐 좀 챙겨드세요.
358,다시 한번 더 붙잡고 싶어 ㅠㅠ,후회하지 않는다면 지금 잡으세요.
359,내 사랑이 부족한걸까?,더 노력해보세요.
360,여행지 추천,편하게 쉴 수 있는 곳이 좋을 거예요.
361,그녀는 내가 좋아하는 이 상황을 즐기는 것 같아.,나쁜 사람일지도 모르겠네요.
362,다 나 좋아했으면 좋겠어,꿈같은 이야기네요.
363,이별한지 10일차 점점 나아지고 있습니다.,저랑 대화하는 게 위로가 되었으면 합니다.
364,꿈에서 전남친 친구가나왓는데,무슨 일이 있었나봐요.
365,황당해서 말도 안 나와,너무 신경쓰지마세요.
366,남자친구가 돈이 너무 없어.,정말 현실적인 문제네요.
367,이번 주말 그녀에게 연락해 볼까?,주말 전에 연락해서 주말에 만나야죠.
368,업무 지적 또 받음,업무 능력이 없는 게 아니라 센스가 부족한 걸 수도 있어요.
369,응원합니다.모두들,저도 같이 응원할게요.
370,사랑하면 안될 사랑을 사랑하고 있어,위험한 사랑이네요.
371,슬픈 이별.,슬픈 예감은 틀린 적이 없죠.
372,나만 아직 그자리인거 같아,제자리 걸음이어도 괜찮아요.
373,예비 시어머니가 이상해,아직이라면 더 살펴보세요.
374,한달 만에 보는 너에게,미련이 남아 있나봅니다.
375,다 마음에 안 들어,그럴 때가 있죠.
376,이별에 답.,이별에 답이 있을까요.
377,마음에 없는데 관계를 하고 싶대,정리하고 좋은 사람 만나세요.
378,참고 계속 도전하면 될까?,인내할 수 있는 사람이라면 무엇이든 손에 넣을 수 있을 거예요.
379,안 돌아올거 아는데,기다리지 마세요.
380,남자들은 좋아하는 사람한테만 잘해주고 그래요?,사람 마다 다르겠지만 좋아하는 사람한테 더 잘할 거예요.
381,짝사랑 시작하고 감정 기복이 심해.,짝사랑이 그런건가봐요.
382,3년이 지난 지금,괜찮길 바랄게요.
383,수백번 싸우고 수백번 화해,너무 안맞으면 헤어지는 것이 서로에게 도움이 될지도 몰라요.
384,전 바보입니다.,순수한 거예요.
385,사랑하고 좋게 바꼈어,화학 물질이 접촉하는 것처럼 반응이 일어나서 완전히 바뀌게 되죠.
386,건강검진 왔어,주기적으로 해주는 게 좋죠.
387,썸 탈 때 뽀뽀 괜찮아?,사람마다 다르겠지만 사귀고 난 후가 좋겠어요.
388,어제 그녀를 또 보았어.,많이 놀랐겠어요.
389,드디어 연애에 종지부를 찍은것 같네,고생했어요.
390,말 거는게 어려워,처음만 어렵지 그 다음부터는 덜할 거예요.
391,머리 좀 다듬을까,다듬기만해도 괜찮을 거예요.
392,잘못 쓴 거 엄청 많아,마음을 손이 따라와주지 않죠.
393,만나기만 하면 싸워,만나지 마세요.
394,여자친구 말고 다른 여자도 만나보고 싶어.,흔들리고 있나요.
395,음악 들으면서 잊으려고,음악이 도움이 되길 바랍니다.
396,나 뚱뚱한데 좋아하는 남자에게 연락해도 될까?,연락해도 상관없지만 자신을 비하하지는 마세요.
