,Q,A
147,골프 배워야 돼,골프치러 가야돼
148,골프 어려워,골프 못 치는데
149,곱창 생각나,곱창 먹고 싶어.
150,공무원 괜찮겠지,공무원이 좋지?
151,공무원 되면 좋겠다,공무원 되고 싶다
152,공무원 시험 죽을 거 같아,공무원 시험 힘들어ㅠㅠ
153,공복이라 신경이 예민해져,공복이라 예민해
154,공부 꼭 해야할까,왜 공부해야하는지 모르겠어
155,공부 때려치워야 하나,계속 공부해도 될까
156,공부 시작해도 될까,새로운 공부 시작해도 될까
157,공부 왜 해야 돼?,공부하는 이유?
158,공부 잘 안돼,공부 하기 싫다
159,공부 좀 더 할 걸,어렸을 때 공부 좀 할 걸
160,공부로 먹고 살 수 있을까,계속 공부해도 될까
161,공부하기 싫어,공부하기 싫은 날
162,공부하는 낙이 없어,공부하는 이유가 없어
163,공시 준비 힘들어,공무원 시험 힘들다
164,공시 준비 힘들어,공시 준비하는데 힘들다
165,공시 준비하는데 연애하면 안되겠지?,공시생인데 연애 해도 될까?
166,공시준비중,공시생이야
167,공연 보고 싶어,공연 보러 가고 싶어
168,공책 필기 나만 힘들어?,공책 필기 나만 힘들어?
169,공황장애 생겼어.,공황장애 있어
170,공휴일에는 집이 최고,공휴일에는 집콕
171,과거는 잊고 앞으로 나아 가야지,과거는 중요하지 않아
172,과식했나 봐,너무 많이 먹었나봐
173,과식했다,너무 많이 먹었어
174,과외비 비싸?,과외비 부담되겠지?
175,과일 먹어야지,과일 챙겨 먹어야지
176,과일 잘 안 먹게 돼,과일 안 먹게 돼
177,과일 챙겨 먹어야지.,과일 먹어야지.
178,과함 설렘 후에 지금은 안 설레,과함 설렘 후에 지금은 안 설레
179,관계가 계속 애매하다.,애매한 관계
180,관심 끄라고 하고 싶다.,관심 좀 안 가졌으면
181,관심 있는거 티 안내려고 선톡 안하고 일부러 늦게 보내고 그러는 사람도 있어요?,관심 있는거 티 안내려고 일부러 답 늦게 보내고 그러는 사람도 있어요?
182,관절염인가,관절염 같애
183,광고가 안끝나,요즘 광고가 너무 길어
184,괜찮다가.갑자기 ㅠ,괜찮아 진 줄 알았는데 오늘 펑펑 울었어.
185,괜찮다가도 한번씩 마음이 저려오네,괜찮아졌다가 다시울컥하네
186,괜찮아졌는줄 알았는데. . .,괜찮은 줄 알았는데
187,괜찮아지고 있어,긴 시간이 걸렸지만 괜찮아.
188,괜찮아진 줄 알았는데.,괜찮은 줄 알았는데.
189,괜찮은 사람인데 사귀긴 싫어,만나면 좋은데 사귀긴 싫어
190,괜찮은 사람인지 어떻게 알 수 있을까?,괜찮은 거 같은데 아니면 어쩌지
191,괜찮은 줄 알았는 데,"괜찮은 척, 어른인척"
192,괜찮은게 아닌가봐,괴로워
193,괜히 건들지 말라고,나 좀 건들지마
194,괜히 기다렸어,나만 기다렸나봐
195,괜히 농담해서 망했다,분위기 좋았는데 망했다
196,괜히 아까운 시간 버렸다,시간 버렸다
197,괜히 화가 나서 짝남한테 연락 끊자고 했어.,딴일로 화났는데 짝남이랑도 싸움
198,괴물이 되어 가는 느낌이 들어,나 점점 괴물이 되고 있어
199,교보문고 왔어,서점 왔어
200,교양 듣는데 심남 있음. ,교양 시간에 심남 발견
201,교양 듣는데 어떤 남자가 자꾸 쳐다 봐. 관심 있는 걸까?,왜 쳐다 보지 관심 있나
202,교양수업 시간에 마음에 드는 애 있어,교양수업에서 마음에 드는 애 있어
203,교양수업이 재미있어,교양수업 은근 재미져
204,교양이 전공보다 재미있어,교양 수업 재밌어
205,교직이수 가능할까,나 교직이수할 수 있을까?
206,교통사고 났었어.,교통사고 당했어
207,교회 갔다 만났어,교회에서 만났어
208,교회 오빠한테 눈이 가,교회에 좋아하는 오빠가 생겼어.
209,구박하면서 엄청 일 시켜,일도 못하는데 엄청 시켜
210,구썸남 보고싶어.,구썸남한테 연락하고 싶다.
211,군대 갔다 올 때까지 기다릴 수 있을까,군대 기다릴 수 있을까
212,군대 기다려 주려고,군대 기다려도 될까
213,궁금하지?,궁금하면 오백원
214,궁금해 알려줘,궁금해
215,권태기 어떻게 해결해야할까.,권태기가 찾아온 이유?
216,귀가 가려워,귀가 간지러
217,귀가 윙윙거려,귀 아파
218,그 사람이 나 안 좋아하는 거 같아,내가 좋아하는 사람이 나 안 좋아하는 거 같아
219,그 사람이 나 좋아해줬으면 좋겠다,내가 좋아하는 사람이 나 좋아해줬으면 좋겠다
220,그 사람이 행복했으면 좋겠다,내가 좋아하는 사람이 행복했으면 좋겠다
221,그 시절엔 다 그랬지,그땐 그랬지
222,그냥 고백할걸,만나서 고백할걸
223,그냥 공무원이 좋을 듯,공무원 준비할까
224,그냥 내버려 둬 주었으면,나 좀 내버려 뒀으면
225,그냥 선 볼까?,선 볼까?
226,그냥 씹어야겠다.,잠수가 취미
227,그냥 잘못했다고 하면 될거 같은데 자꾸 변명해,자기 잘못 인정 안하는 사람
228,그냥 할까?,해볼까?
229,그냥 혼자 있는게 좋아,혼자 있고 싶다
230,그녀는 조금이라도 내 생각을 할까?,내 생각을 할까?
231,그녀는 지금 무슨 생각을 할까?,무슨 생각을 할까?
232,그녀는 지금 뭐하고 있을까?,뭐하고 있을까?
233,그녀도 나를 좋아하는 줄 알았는데 아닌가봐.,나를 좋아하는 줄 알았는데.
234,그녀도 나를 좋아했으면 좋겠는데.,나 좀 좋아해 주면 좋겠다.
235,그녀도 내 생각을 할까?,내 생각을 할까?
236,그녀를 다시 찾았습니다,그녀를 되 찾았습니다
237,그녀를 생각할 수록 내가 비참해져.,그리워수록 내가 비참해져.
238,그녀와 같은 조가 하고 싶어.,같은 조 되면 좋겠다.
239,그녀의 환심을 살 수 있는 방법이 뭐가 있을까?,환심을 살 수 있는 방법은 뭘까?
240,그는 나를 어떻게 생각할까?,나에 대해서 어떻게 생각할까?
241,그는 내 마음을 알까?,내 마음을 알까?
242,그는 내가 좋아하는 마음을 이용하는 걸까?,내 마음을 이용하는 걸까?
243,그는 내가 좋아하는 이 상황을 즐기는 것 같아.,내가 좋아하는거 즐기는 것 같아.
244,그는 조금이라도 내 생각을 할까?,조금이라도 내 생각을 할까?
245,그는 지금 무슨 생각을 할까?,무슨 생각을 할까?
246,그는 지금 뭐하고 있을까.,뭐하고 있을까.
247,그도 나를 좋아하는 줄 알았는데 아니었어.,나를 좋아하는 줄 알았는데 아니구나.
248,그도 나를 좋아했으면 좋겠다.,걔도 나를 좋아했으면 좋겠다.
249,그동안 잘 지냈나요?,잘 지냈어?
250,그래도 좀 기대했는데,기대했는데
251,그래이제  결정했어,나 결정했어
252,그런 사람인가보다 해야하나봐,그런 사람인갑다 해야지
253,그런 친구 아니었는데 너무 귀찮게 하네,친구가 귀찮게해
254,그렇게 오래 살았는데도 이해를 못하겠어,오랜 시간을 함께해도 이해하지 못하겠어
255,그렇게 할래,그래 그러자
256,그를 생각하면 할수록 내가 비참해.,생각할수록 내가 비참해.
257,그를 좋아하면 내가 비참해지는거 아는데도 포기가 안돼.,비참한데 포기가 안돼.
258,그리울수록 아파,그리워 할수록 아파
259,그림 좀 잘 그렸으면 좋겠다,그림 잘 그리고 싶다
260,그만 두고 나오고 싶어,사표 던지고 나오고 싶어
261,그만 먹어야 하는데,먹을까 참을까
262,그사람 이상형 궁금해,그 사람 이상형은 뭘까
263,그와 같은 조가 되고 싶은데 먼저 말해볼까?,같은 조하자고 먼저 말해볼까?
264,그의 환심을 살 수 있을까?,환심을 살 수 있을까?
265,그저 그런 연애,연애하면 재미 있을 줄 알았는데
266,근육 있으면 멋있을텐데,운동 잘하는 사람 멋있어
267,근황이 궁금해,요즘 어떻게 지내는지 궁금해
268,금값 알아?,금값 어때
269,금수저로 태어났으면,금수저로 태어났으면 좋았을텐데
270,급 내 짝남 생각나는 일화가.,갑자기 짝남 생각나는 일화가.
271,기 빨렸어,너무  기빨려
272,기념일 다 챙기는거 귀찮아,기념일 챙기기 귀찮아
273,기념일 못챙겼어,기념일 또 까먹었어
274,기념일에 선물 어느정도로 해줘?,기념일 선물  얼마나 드나?
275,기념일은 언제언제 챙겨?,기념일은 챙겨?
276,기능 좀 알려줘봐봐,할 줄 아는거 뭐야?
277,기다리는 것도 지쳐,이제 기다리는 것도 지쳐
278,기다리는 것도 행복해,기다리는 사람 있는 것도 행복한 일이구나
279,기다리라고 말 못하겠어,기다리라고 못 말하겠어
280,기다림 속에 갇혀 있어,기다리는 거 지쳐
281,기대하지 말걸,기대가 무너졌어
282,기대했는데,나 많이 기대했는데
283,기댈 수 있는 남자 만나고 싶어,어깨를 기댈 수 있는 남자 만나고 싶어
284,기댈 수 있는 사람이 이상형이야,힘들 때 기댈 수 있는 사람이 이상형이야
285,기름값 올랐어.,차 기름값이 또 올랐네
286,기본이 뭔지도 모르는 것 같아.,기본이 안 되어 있어
287,기부 좀 했어요,기부했어
288,기분 꿀꿀해,오늘 괜히 기분 꿀꿀해
289,기분 나쁜 농담을 계속하고 있어,나는 기분 나쁜데 농담이라고 계속해
290,기분 울적해서 좀 걷고 있어,울적해서 거리를 걷고 있어
291,기분 전환이 필요해,기분 전환 하고 싶어
292,기분이 더러워,기분이 그지 같아
293,기분이 묘하다,기분이 이상해
294,기분이 묘해,이 기분은 뭘까
295,기숙사 사는거 어떨까?,기숙사 살면 불편해?
296,기숙사 안됐어,기숙사 떨어졌어
297,기술 좀 배울까,기술 배울까
298,기차 타고 여행 가고 싶어,기차여행 가고 싶어
299,기침도 못하겠어,기침도 편하게 못해
300,기프트콘 받음,기프트콘 받았어!
301,기프트콘 주면 좋아할까?,기프트콘 선물 괜찮을까?
302,기프트콘으로 선물받았어,기프트콘 선물받았어
303,기프트콘으로 선물해야겠다,기프트콘 선물해볼까?
304,기회를 놓쳤어,기회를 못 잡았어
305,기획사니까 당연히 예쁜 애들 많겠지,기획사에 예쁜 애들 많겠지
306,긴 머리 관리 어렵다.,긴 머리 관리하는 거 힘들다
307,긴 머리가 잘 어울렸던 그녀,긴 생머리가 어울렸던 그녀
308,긴장 푸는 법 알려줘,긴장돼
309,긴장돼서 땀나네,생각만 해도 땀나네
310,길에서 담배 피우는 사람 싫어,간접흡연 싫어
311,길에서 번호 따였어,길에서 헌팅 당했어
312,길에서 전번 물어보면 줘도 되나,길거리에서 연락처 물어보면 줘도 되나
313,길에서 첫사랑 만났어,길에서 우연히 첫사랑 만났어
314,길은 멀고 해는 진다,산 넘어 산이네
315,길이 미끄러워서 미끄러질뻔했어,길이 얼어서 미끄러질뻔했어
316,길이 안보여,절망적이야
317,길이 얼었어,도로가 얼었어
318,김치볶음밥 먹어야지,김치볶음밥이나 만들어 먹어야지
319,김치찌개 먹고 싶어,참치김치찌개 먹고 싶어.
320,까아 오빠들 컴백한다,내가 좋아하는 가수 컴백한다
321,깜깜한데 전기 안들어오네,전기 나갔다
322,깡 마른 거 같아,너무 마른 거 같아
323,꼬시는 방법,사람 잘  꼬시는 방법
324,꼴 사나워질 것 같은데,나만 우스워질거 같아
325,꽃 사고 싶어,꽃 살까?
326,꽃 선물 좋아할까,꽃 선물해볼까
327,꽃 예쁘게 말렸어,드라이플라워 만들었어
328,꽃게탕 맛있다.,꽃게탕 진짜 밥도둑
329,꽃꽂이 배우니까 좋다,꽃꽂이 배우는 중
330,꽃다발 말리면 에쁘겠지.,꽃다발 말려봐야지
331,꽃다발 샀어,꽃다발 준비했어
332,꽃다발 선물 받았어,꽃다발 받았어
333,꽃다발 선물 어때?,꽃다발 선물 괜찮지?
334,꽃바구니가 좋을까 과일바구니까 좋을까,꽃바구니 선물이랑 과일 바구니 선물 뭐가 좋아?
335,꽃선물 받고 어,꽃 받고 싶다
336,꿀잼,재밌다.
337,꿈꾸니까 진짜 힘드네ㅜ,꿈에 나온 헤어진 여자친구
338,꿈에 자꾸 나와,꿈을 안 꿀 수 있다면
339,꿈에서 썸 나는 남자애가 자꾸 나와,꿈에서 썸 나는 남자애가 자꾸 나와
340,꿈에서 썸 타는 여자애가 나와,썸 타는 여자애가 꿈에 나왔어
341,꿈에서 자꾸 어떤 남자애가 나와,어떤 남자애가 꿈꿔
342,꿈에서 자꾸 어떤 여자애가 나와,어떤 여자애가 꿈에 자주 나와
343,꿈은 많은데,꿈이 너무 많아
344,꿈이 너무 무서웠어,무서운 꿈 꿨어
345,꿈이 없어,나만 꿈 없이 사는 거 같아
346,꿈이 없어,꿈이 없어
347,꿈이 이루어질까?,꿈이 현실이었으면
348,꿈이 자꾸 바뀌어,꿈이 다양해
349,끝나면 좋을 줄 알았는데.,다 끝나가니 좋을줄만 알았는데.
350,끝이 났네,끝인가?
351,끝이났네,끝인거겠죠?
352,낌새가 이상하더니 딱 걸렸어,낌새가 있더니 딱 걸렸어
353,나 같이 예쁜 애를 왜 갈구지,나만 갈궈
354,나 거짓말 못하겠어,나 연기 너무 못해 거짓말 못하겠어
355,나 그동안 뭐한거니,뻘짓 한 느낌 싫다
356,나 내일 기숙사 가야돼,내일 기숙사 들어가
357,나 너무 소심해,내 성격 너무 소심해
358,나 누구게?,나는 누구인가
359,나 뒷담화하는 애 어떻게 할까? ,나 뒷담화하는 애 있다는데 어떻게 하지? 
360,나 말 실수한 거 같아.,나 실수했나
361,나 머리가 나뿐 것 같아,나 머리 나쁜 듯
362,나 무시 당한 거 같아,나 무시하는 거 같아
363,나 무시하는 사람 짜증나,나 무시하는 사람 어떻게 해?
364,나 문제가 많은거 같아,나한테 문제가 많아
365,나 뭐하는 거지,나 여기서 뭐하는 거지
366,나 바본인가 봄,바본가봐
367,나 사랑하는 사람이 생겼어.,좋아하는 사람이 생겼어요.
368,나 새 옷 샀다,새 옷 샀다
369,나 속은거 같아,나 속은듯
370,나 수학여행 간다,내일 수학여행가!
371,나 쉬운 사람이라고 생각하면 어쩌지?,나 쉬운 여자 아니야
372,나 쉽게 보나,나를 너무 쉽게 본 느낌인데
373,나 썸타는 것 같은데 설레발인 부분?,썸읹 설레발인지 모르겠네
374,나 아직도 애 같아.,나 아직 어른 아닌 거 같아
375,나 얘를 좋아하는 걸까?,사랑일까
376,나 어때?,나 괜찮지 않니
377,나 어장인듯,어장 관리하는 것같아
378,나 연락하지 말라고 단호하게 해줘.,연락하지 말라고 해줘.
379,나 열심히 할거야,진짜 열심히 해야지
380,나 오늘 개불쌍,나 쫌 불쌍한 거 같아
381,나 오늘 상 받았지롱,오늘 상 받았다
382,나 오늘 심쿵함,심쿵함
383,나 왜 멍청해,멍청한게 탈이지
384,나 왜 사랑할까?,나 같은 애를 왜 사랑할까?
385,나 왜 사랑해?,왜 나를 사랑해?
386,나 왜 이렇게 화냈었지?,왜 화냈었지?
387,나 왜 좋아할까?,나 왜 좋아해?
388,나 왜케 못 생겼지,나 너무 못 생겼어
389,나 욕 먹는 거 같아,남들이 날 욕하는 거 같아
390,나 윗집 남자애 좋아하는 것 같애.,윗집 남자애 괜찮은 애 같아
391,나 이상한가,사람들이 나 이상하대
392,나 이상해?,내가 이상한가?
393,나 이제 졸업해,드디어 졸업한다
394,나 자꾸 놀리는 애가 있는데 나 좋아하는건가.,자꾸 놀리는 애가 있는데 나 좋아하나.
395,나 자체를 사랑해줄 사람이 있을까,나란 사람을 사랑해줄 사람이 있을까
396,나 잘하고 있는 걸까?,나 잘하고 있는 건지 모르겠어
397,나 좀 내버려 두면 좋겠어,나 좀 안 건들였으면 좋겠어
398,나 좀 봐줬으면 좋겠어,나 좀 좋아해 주지
399,나 좀 사랑해줘,사랑한다고 말해 줘
400,나 좋아하는 것 같아,금사빠인가
401,나 좋아하는 남자애 없나봄. 넘 외로워.,요즘 외롭다
402,나 좋아하는 애 떼어내는 방법 좀 알려줘.,가라고 하고 싶은 애가 있어
403,나 좋아하는 애 생겼나봐.,좀 좋아하는 애가 있어
404,나 좋아하는 애가 갑자기 연락을 안하는데 숨은 뜻이 있는건가?,애가 왜 연락을 안하지
405,나 좋아하는 애가 매일 선톡 걸다가 갑자기 톡을 안함.,톡하다가 조용해
406,나 좋아하는 여자애가 없는 듯. 나 왜 사냐.,나 좋아해줄 여자는 없나봐
407,나 좋아하는 여자애한테 답장이 안와.,톡 보냈는데 답장이 안와
408,나 좋아하는 줄 알았는데.,내 사랑인줄 줄 알았는데.
409,나 진심인데,나는 진심으로 좋아하는 건데
410,나 챙겨줄 사람이 필요해,나 좀 건들지 마
411,나 천재 같아,나 천재임
412,나 축구는 진짜 잘해,축구 잘해
413,나 폰겜했더니 몇 시간 갔어,나 폰겜 너무 많이해
414,나 혼자 야근해,나만 야근해
415,나 혼자 여행 왔는데 괜찮네,혼자 여행 왔어
416,나 혼자서 축구 본다,혼자 축구 보는 중
417,나 화장이 잘 안돼,나 화장을 너무 못해
418,나가기도 귀찮아,밖에 나가기 귀찮아
419,나는 뭐든 할 수 있다.,나 할 수 있어
420,나는 뭘 잘할까,잘하는 게 뭘까
421,나는 아직 고백 전인데 소문 나서 짝녀가 알게 됐는데 어떻게 함?,짝사랑 하는 애가 내가 좋아하는 거 알아버렸는데 어떻게 해
422,나는 왜 이 모양일까,나 왜 이러지?
423,나는 잘 할줄 아는 게 없는 것 같아,할줄 아는 게 없어
424,나는 좋아하는 게 뭘까,좋아하는 게 뭔지 모르겠어
425,나는 친구가 없어,진짜 친구가 없는 거 같애
426,나는 친구라고 믿었는데,나만 친구라고 생각한건가
427,나도 남편이 있었으면,결혼하고 싶은데 사귀는 사람이 없어
428,나도 대우 받고 싶다고,대우 좀 해줬으면
429,나도 비키니 입고 싶다,당당하게 비키니 입고 싶다
430,나도 아내가 있었으면,결혼하고 싶다
431,나도 약초 캐볼까?,약초 캐볼까?
432,나도 여자친구 있었으면,여자친구가 없어
433,나도 위로 받고 싶다,위로받고 싶은 날
434,나도 이벤트가 되다니!,이벤트 당첨됐어!
435,나도 이제 아재인가,나 아재인가
436,나도 집 사고 싶어,집 사고 싶어
437,나들이를 가볼까,바람 쐬러 나갈까
438,나란 놈,난 정말 안되겠다
439,나랑 썸 타는 줄 알았는데 내 동기랑 사귐.,나랑 썸 타던 여자애가 내 친구랑 사귄대
440,나랑 썸타는 애가 영화보재.,썸타는 애랑 드디거 영화보러 가기로 함.
441,나랑 있는게 힘들었나봐,혼자가 편하대
442,나랑만 연락하면,나랑만 연락하면 좋겠다.
443,나른하다,아무것도 하기가 싫어
444,나를 떠보는 것 같은 짝남.,슬쩍 떠보는 것 같은데
445,나를 왜 좋아하는 걸까?,나를 왜 좋아하는 걸까?
446,나를 정말 사랑하는 걸까?,나를 정말 사랑하는 걸까?
447,나를 좋아하는 사람도 있을까?,나를 좋아하는 사람은 아무도 없을거야.
448,나를 좋아하는 사람을 만나는 건 축복일거야.,내사람을 만나는 건 축복일거야.
449,나를 좋아하는 사람이 있는데 철벽치게 돼요.,좋아해 주는 사람이 있는데 철벽치게 돼요.
450,나를 좋아하는 애랑 친구 가능?,사랑한다는데 친구 가능?
451,나를 좋아하는건 바라지도 않아요.,사랑 같은 건 바라지도 않아요.
452,나를 좋아하는데 숨기는 사람한테 나도 좋아한다고 어떻게 표현해?,좋아한다고 말 못하는 사람에게 나도 좋고 어떻게 말해?
