,Q,A
52,고기 먹고 싶어졌어요.,오빠 저랑 같이 파스타 집 갈래요?
53,제가 사고 싶은 게 있는데요. 어떡하죠. 돈은 있는데 좀 고민되어서요. ,고민하는 이유가 가격뿐이라면 고민하지 말고 사라고 했습니다.
54,앨범 현장예약 해줄 사람 있나요?,내가 해줄까요?
55,망했어요. 나 20만 원 잃어버렸어요.,20만 원이 아니라 30만 원이었어요.
56,집 가고 싶어요. 허리가 너무 아파요,쿄카님 힘내세요.
57,동네 마실은 편한 게 최고죠.,편해요. 슬리퍼 질질 끌고 나왔어요.
58,고깃집 할 때 우리 가게 김치말이 국수 진짜 인기 많았는데 비결은 안 알려줄 거예요!,비법은 아주 맛있는 김치일까요! 확실히 자취하면서 사 먹는 김치로 해 먹는 김치말이 국수는 맛이 없던데요.
59,냉동 가래떡 어떻게 하면 말랑하게 잘 먹을 수 있을까요? 잘못 구우면 겉이 딱딱해서 못 먹겠던데요.,"어, 뜨거운 물에 중탕시키는 건 어때요?"
60,주말에 친구랑 부산 데이트가고 싶었는데 엄마가 고3이라고 못 가게 하네요. 시험 끝났는데 가게 해줘요. 그놈의 고3 뭐길래요.,몰래 가는 것도 추억이 될 거 같아요.
61,오늘 치킨 시켜 먹고 싶은데 속이 기름진 거 안 받을 듯해요. 다음에 먹어야겠어요. ,속이 왜요?
62,우리 내일이면 안녕이에요.,아쉬워요?
63,진짜 저랑 조개구이랑 곱창 먹어 주실 분 구해요.,곱창이요!
64,똥 마려운데 집에 좀 가게 해줘요.,노상방변 하면 안 돼요!
65,에코백 만들고 싶어요. 신물과 원목 가구들을 잔뜩 가지고 싶어요. 이쁜 조명도요.,저도 에코백 만들고 싶어요. 빨리 자수 배워서 에코백에 자수 박아야겠어요.
66,티켓 아직도 구하시나요?,네. 아직 구하는 중이에요. 
67,오늘 점심때 먹은 불 주꾸미덮밥 엄청 맛있었어요. 또 먹고 싶어요. 내가 만들면 이 맛이 안 나요.,주꾸미 먹고 싶어요.
68,계란 후라이 해봐요.,이건 할 수 있죠? 
69,방 탈출 카페 가보고 싶어요.,정말 재밌어요. 근데 비싸서 여러 명 가는 게 좋아요. 
70,살려주세요. 집 가고 싶어요.,무슨 일이에요.
71,용산역이에요! 이제 떠나요!,우와! 행복한 금요일 되세요!
72,누가 나 머리 감겨주세요.,예랑이 머리 안 감으면 머리가 가래떡으로 변하는 마법을 겪게 될 거예요.
73,혹시 가격이 얼마 정도 하는지 알 수 있을까요? ,선점 끝났나요?
74,저도 고기 먹고싶어요.,사빈님 고기 맛있어요. 소고기는 두꺼운 게 맛있어요. 고깃집 가고 있어요!
75,내일 일 갈 생각하니 우울해요.,일해야 해요.
76,님 내일 몇 시까지 놀 거예요?,저 6시에 알바 가니까 한 5시 반이요.
77,오늘 아직 한 끼도 못 먹었어요. 그리고 아무것도 안 먹었는데 배는 왜 아프죠? 집에 빨리 가게 해주세요.,까맛님 끼니는 잘 챙기셔야 할 텐데요. 빈속에 스트레스 많이 받거나 몸이 많이 피곤하면 속 쓰리더라고요. 우유라도 드시는 게 어떨까요? 
78,"해장국으로 콩나물국이라도 끓이려고 냉장고를 뒤져봤지만, 콩나물은 없었어요. ",콩나물국 없으면 계란국이나 미역국도 괜찮아요!
79,배고프니 새우깡 먹어야겠어요.,제 배 부름 좀 가져가 주세요.
80,대구 시내 근처 아는 곳은 역시 동산병원 뒤 선교사의 집 산책로뿐인데 예쁜 촬영지 어디 어디 있을까요?,계명대 캠퍼스 어때요?
81,같은 브랜드끼리 모으는 게 좋을까요?,색깔별로요!
82,나 집 좀 가게 해줘요.,택시 좀 잡혔으면 좋겠어요.
83,연어 먹고 싶어요.,제 연어샐러드 보실래요?
84,내일 학교 가게 일찍 자요.,뭐예요. 다정하네요.
85,아 목감기 때문에 진짜 죽을 거 같아요.,병원 가요.
86,갑자기 핫초코가 너무너무 마시고 싶어요.,나 달달한 거 너무 땡겨요.
87,내일 점심 뭘 먹을까요?,저도 매일 점심마다 메뉴 고민하는데 정작 가는 곳은 편의점 아니면 맥도날드에요. 
88,내일 노래방 꼭 갈 거예요.,내일요?
89,뿌동님 진짜 죄송한데 내일 우체국 못 가게 되면 6월 2일 이후에 보내드리게 될 것 같은데 괜찮을까요?,네. 가능해요! 
90,쓰레기가 산더미인데 업체 부르기 미안해서 못 부르겠는데 불러도 될까요?,부르세요. 저도 불렀어요. 돈을 주는데 뭐가 미안해요!
91,어제 분명 3시간만 자고 일어나야지 하고 누웠는데 정신 차려보니 아침이에요.,바보네요.
92,좋은 아침이에요!,좋은 아침이에요!
93,앞으로 13시간만 있으면 집 가요.,저도요. 집 가고 싶어요.
94,저번에 1년 치는 무슨 2년 치 주사 다 맞았다고 생각했는데 6대 또 맞네요. 나 죽겠어요.,괜찮아요?
95,저번에 1년 치는 무슨 2년 치 주사 다 맞았다고 생각했는데 6대 또 맞네요. 으억 나 죽겠어요.,에? 어디 아프세요?
96,하와이 가고싶어요.,니토도 데리고 가세요.
97,염색 제일 무난하고 안 튀는 색 추천 좀 해주세요.,애쉬 그레이요.
98,이거 꼭 사야하는 거 아닌가요?,이번에 새로 나온 아바타인가요?
99,오늘 태양도 역시 뜨거워요.,너무 더워서 지쳐요.
100,통장 찢어졌나 봐요. 돈이 자꾸 새요. 잔고가 이럴 리가 없는데 이상하네요.,가계부라는 통장일기가 필요하시겠군요.
101,이 차는 오래오래 잘 타야겠어요.,차 바꾸셨나 봐요? 
102,우쿨렐레 비싸요?,"아니요. 할인해서 49,000원 이길래 사버렸어요."
103,3주 만에 맛있는 거 먹어요.,먀님 맛있게 드셔요.
104,무인양품에서 침대를 사려고 하는데 좋나요? ,좋아요!
105,노래방 가고 싶어요.,노래방 갔다 왔는데 목이 나갔어요.
106,남자친구 생일이라 밥 먹으러 나왔어요.,역시 생일엔 맛난 거죠!
107,님들 저 어떡해요. 코피 때문에 응급실 가게 생겼어요.,만두님 괜찮으세요?
108,그러고보니 요새 작약도 피는 시기였네요.,작약? 꽃이에요?
109,심심해요. 병원 갔다가 뭐할까요?,피자 먹어요.
110,어디 나갈까요?,바람 쐬는 거 좋죠.
111,오늘 제발 무사히 집에 가게 해주세요.,잘 도착했어요?
112,이러다가 제 가게가 망해버리는 건 아닐까요? ,어쩌면 좋아요. 오늘은 손님이 없어요. 이렇게나 사탕이 많은데 말이에요!
113,토요일 저녁 어떻게 할래요?,맛있는 데 있어요?
114,뭘까요. 트위터 왜 이러죠. 와이퍄이가 이상한 건가 핸듀폰이 이상한 건가 트위터가 이상한 건가 뭐죠?,저도 막 튕겨서 껐다가 다시 켰어요.
115,완전 내 스타일인데 과즙 넘치고 포도 맛 완전히 사랑해요.,맛있는 우유를 먹어야 되겠어요.
116,작년에 통일 야영할 때 고기 구워 먹었는데 역시나 란별이가 다 먹었어요. ,전 부대찌개 같은 거 먹었어요. 소시지를 숟가락으로 썰어서 끓였어요.
117,약간 씨컬로 쫙 펴졌어요. 너무 좋아요.,머리 하셨나요?
118,저만 티켓 안 왔어요.,저도 안 왔어요.
119,우리 응원봉 가격 아직 안 나왔죠? ,안 나왔어요.
120,저 꿈 수학교사에요.,저도요.
121,거래 됐나요?,아니요. 아직이요.
122,갑자기 일정 잡혀서 다음 주 월요일부터 당장 출장을 가야 해요.,아이고. 풋잠님 일정이 어떻게 이래요.
123,"와, 오늘 삼만 보 가까이 걸었어요. 어쩐지 다리가 아프더라고요.",반달님 고생하셨어요.
124,집에 언제 가죠.,집에서 멀어요?
125,"아, 모기 문 데 또 문 거 같아요.",여기도 벌써 모기가 나와서 죽겠네요.
126,아직도 퇴근 두시간이나 남았어요.,에? 아직 퇴근 못 하셨어요?
127,"아, 진짜 노래방 가고 싶어요.",전 갔다왔어요~
128,왜 전 아직도 집이 아닐까요?,저도요.
129,안 졸린 사람 이리 와 봐요. 제가 무서운 이야기 해줄게요.,싫어요.
130,3층 가격만 나온 거예요? 다른 가격은 없는 거예요?,다 나와 있는데요? 3층 제외하고 나머지 11만 원이에요!
131,졸려요. 피곤해요. 심심해요.,심심하신가요?
132,전 제가 가계부 쓰면 덜 쓸 줄 알았는데 아니에요. 그냥 평소대로 쓰고 그걸 적는 것뿐이에요.,공감이에요. 게다가 며칠 안 써서 밀린 거 확인할 때 도무지 어디에다가 썼는지 기억이 안 날 때가 더 많아요.
133,"날씨 너무 좋아서 늘어지고 귀찮은 일 해결했고, 아침에 샤워해서 보송보송 기분이 좋아요.",와 집이네요. 좋겠어요. 저는 수업중이에요.
134,물음표 몇백 개가 머릿속을 스쳐 지나가요.,모모쟌 왜 그래요?
135,님들 여드름 패치 같은 거 어디서 사나요?,화장품 가게요.
136,일단 자야겠어요. 그리고 병원 가야겠어요.,밤밤이 어디 아파요?
137,이 서글픔과 화를 누군가에게 풀고 싶어요.,휴지에 킁하고 풀어요.
138,세시간 자고 일어나서 가게 열어야 하는데 일어날 수 있겠죠?,못 일어나시는 거 아니죠?
139,자다가 역 놓쳤어요.,어디가요?
140,10시 비행기인데 아직도 7시 반이에요.,어디 가시는데요?
141,자고 일어나서 하는 일이 씻고 엽떡 시켜먹기에요.,너무 부러워요.
142,자고 일어나서 하는 일 씻고 엽떡 시켜먹기에요.,맛있겠네요.
143,안녕하세요. 컴퓨터 견적 문의드리려고 답글 남겨요. 가격은 최대한 낮게 해주시고 gta5  검은사막 등의 고사양 게임 상옵으로 렉 안 걸리고 돌아가게 하려면 견적이 어떠면 좋을까요? ,안녕하세요. 영화나 드라마 노래 저장 많이하시나요?
144,안녕하세요. 컴퓨터 견적 문의드리려고 답글 남겨요. 가격은 최대한 낮게 해주시고  gta5  검은사막 등의 고사양 게임 상옵으로 렉 안 걸리고 돌아가게 하려면 견적이 어떠면 좋을까요? ,안녕하세요. 영화나 드라마 노래 저장 많이하시나요?? 
145,저도 일 가기 싫어요. 일자목 때문에 머리도 너무 무거워서 집에서 그냥 눕고 싶어요.,언니. 목 안마라도 받아야 하는 거 아니에요?
146,포토샵 가격 얼마나 해요? 그냥 살까요.,어도비 홈페이지 가시면 패키지 월마다 분할 납부해서 1년 단위로 사용하실 수 있어요. 
147,와 나 배가 이렇게 많이 나왔었나요?,제 이야기 해요?
148,너무 귀찮아서 카메라 두고 나왔어요.,카메라에 투자해놓고 왜 안 쓰시는 거죠?
149,지금 일어나버렸어요. 그냥 1시간만 기다렸다가 점심을 먹어야겠네요.,점심은 맛있대요? 늦잠 자도 괜찮아요! 혼내는 사람 없어요! 
150,이벤트 당첨됐는데 행사 못 가게 돼서 답글 써요.,그러시군요. 그럼 나머지 한 분 다시 뽑을게요.
151,토오루 오늘도 좋은 하루 보내요. ,네. 유려쨩도 오늘 하루도 운 좋은 하루가 되길 바라요.
152,오! 점심시간이에요!,메뉴는요?
153,요새는 제법 덥군요. ,바람이라도 불게 해드려요? 
154,주말인데 뭐해요?,주말이어서 게임해요. 다이치는요?
155,뭐라도 먹어야 할 텐데 좀 일으켜서 밥하러 가게 해주실 분 있나요?,드셨나요?
156,와플이 당겨서 사 먹었어요.,엄청 맛있겠네요!
157,일본 가서 꼭 먹어야 할 베스트 7 올려주세요. ,닭꼬치 집이요.
158,과자 딱 절반만 먹으려고 했는데 정신 차려보니까 없어요.,계속 먹게 되는 과자에요.
159,밥 먹으러 왔어요!,페니님 맛나게 드셨어요?
160,뭐해요?,졸아요.
161,굉장히 오묘한 맛이에요.,맛이 이상해요?
162,2.5 3.0 이렇게 적혀있으면 이만 오천 원이라는 거죠? ,어? 아닌가요? 삼천 원이에요?
163,B,C
164,점심은 잘 챙겨 먹었나요? 저는 지금 가게에서 일하는 중인데 오늘도 역시 피곤하군요. ,네! 점심 잘 챙겨 먹었어요! 주말도 일하시니 피곤하시겠네요.
165,노트북 사야 되는데 노트북에 대해 잘 몰라서 미치겠어요.,어디에 쓰시려고요? 가격은 어디까지 생각하세요?
166,부산에서 서울 올라가는 버스 얼마 해요?,일반이 만육천오백 원인가 해요. 왕복이 3.7이거든요.
167,사고 싶은 거 욕실용 블루투스 스피커에요.,저도요.
168,어제 손가락 찧어서 곧바로 시퍼렇게 멍이 들었는데 금이 가거나 그런 건 아니겠죠. 아직도 아프네요.,혹시 부어올랐나요?
169,집 가고 싶어요.,언제까지 하는데요?
170,염색하는데 두피 아파요.,안녕님 무슨 색으로 하시나요?
171,가정폭력 당하면 진짜 어떻게 해야 해요?,"일단 상담받을 수 있는 기관으로는 1366의 한국 여성의 전화와 1577-9337의 건강가정지원센터 같은 곳 있어요. 털어놓는 것뿐 아니라 원하신다면 실질적으로 어떻게 해야 하는지도 아마 조언을 주실 거예요. 가족 욕은 제 얼굴에 침 뱉기라고들 해서 털어놓기 쉽지 않지만, 그 누구도 가정 내에서 고통받고 피해받아야 할 이유 없고 그래서는 안 되는 거잖아요. 힘들 땐 트위터든 어디든 속 시원히 털어놓고 순님이 무너지지 않고 씩씩해야 뭐든 해결할 가능성이라도 생기는 거니까 너무 미안해하지 마시고 제가 뭐 도와드릴 수 있는 부분은 없지만 그래도 하루빨리 폭력에서 벗어나 마땅히 누려야 할 평화 누릴 수 있도록 기도하고 있을게요. "
172,연어  먹으러 왔어요! 맛있어요!,저도 지금 연어 먹어요!
173,홍대 노란 풍선 대란이에요.,뭐예요? 오늘 무슨 날인가 봐요.
174,매장에서 커피에 넣어 마실 우유를 부탁드렸더니 제공량에 제한이 있다고 하시던데요. 사실인가요? 사실이라면 왜 그런 제한이 있는 건가요? 미국 등 다른 나라에서도 이런 제한이 있나요? ,서비스의 세부 방침은 각 나라별로 달라 다른 나라의 제한 사항은 정확히 말씀드리기 어려워요. 그리고 상황에 따라 변화하기도 하거든요. 다만 현재를 기준으로는 제공량에 제한이 있는 것은 사실이에요.
175,고든램지 시리즈 중에 웃긴 거 엄청 많네요.,이런 거요?  
176,우와! 나도 오레노 가고 싶어요.,"저번에 요미님이랑 오고 처음 왔는데 이제 예약도 되고, 여전히 싸고 맛있는 거 같아요. 오레노 좋아요! "
177,포크 없이 어떻게 먹으라고 하는 거죠? 친구네 아파트 근처에서 한 시간 반가량 떠돌다가 얻은 핫케이크에요. 고마워요. 손으로 잘 퍼먹어볼게요.,맛있네요.
178,초밥뷔페 왔어요.,쿠우쿠우 괜찮아요?
179,"결제할까 말까 할 때, 비행기 티켓이 없어지고 가격이 160만 원이 되었네요. 이거 어쩌죠. 진짜 미치겠네요. ",쿠키랑 캐시 지우고 해보셨어요? 
180,난 물만두가 좋아요.,저도 물만두 좋아해요! 먹기 편해요.
181,실례할게요! 전차스 관련으로 문의 드릴 게 있어서 연락 드려요. 혹시 우체국 배송 예정이시라면 우체국에서 100g 이하의 물건은 준등기로 1000원에 보낼 수 있는데 이 방법으로 배송해주실 생각은 없으신가요?  ,원하시면 준등기까지 배송에 포함시킬게요! 혹시 이미 주문하셨다면 말씀해주세요! 
182,학교 졸업하고 났더니 한인가게 갔을 때랑 가족이랑 통화할 때 빼고 한국어로 말 할 기회가 없어요.,나 한인가게 가서도 일본어 해요. 한국어 육성으로 말하는 거 한 달에 두어 번 있을까 말까 해요. 
183,올리브영 랩피토 젤 이거 진짜 완전 추천 아이템이에요. 3일 종주 산행 동안 이거 바를 때와 안 바를 때의 다음날 다리 상태가 정말 달랐어요. 뻐근하고 알배기는 근육통에 진짜 탁월했고 그 외 허리 어깨 같은 다른 부위에 발라도 너무 좋았어요. 정말 싹싹 긁어서 썼어요.  ,진짜예요. 저도 이거 쓰고 있어요. 효과 좋아요! 
184,소소한 망원 여행 중이에요.,망원 별 여행자셨군요.
185,아사쿠사에 있는 생맥주 자동판매기에요. 저 술잔 각도 조절하는 것 좀 보세요. 집에 하나 들여놓고 싶네요.,홍대 코다차야에 있어요. 보고 죽는 줄 알았어요. 
186,"저는 오늘 너무 힘들어서 불한당 못 보고 아는 언니가 부산 서면에 인문학 서점을 오픈했는데 여기 왔다가 피자 먹고 집에 가게 돼버렸네요. 불한당 내일 볼게, 시완아 미안해요. 기다려요. 날 버리지 마세요. ",서면의 책방밭개 많이 오세요. 차를 마실 수 있는 모임 공간도 준비되어 있어요.  
187,아까 홍대에서 길 가다가 아이스크림 받았어요.,오! 뭐예요!
188,아까 홍대에서 길가다가 아이스크림 받았어요.,이거 와우 무법항에서도 막 뿌리던데요.
189,이거 범일동 같은데요.,범일동 금은방 가게는 미로라고 할 정도로 길지가 않아요. 전화번호가 8자리인 것 봐서는 서울일 것 같아요. 
190,티켓팅 다음 주 월요일인 거 진짜예요? ,다음 주 월요일이 2일 남은 게 실화에요? 
191,티켓팅 담주 월요일인거 진짜에요? ,다음주 월요일이 2일 남은게 실화에요? 
192,안녕하세요. 과제 방 정기 모집 시즌이 돌아왔어요. 이번 회차는 2주년 기념으로 모집 인원 수의 제한이 없어요. 감사해요.  ,주말활동만 가능해서 힘들 것 같아요. 이번엔 해 보고 싶은데요.
193,관리 좀 하세요.,돈이 없어요.
194,참기름통 깨져서 다이소로 사러 갔는데 한창 고르는 중에 누가 저기요 저기요하고 직원을 불렀어요. 근데 왠지 목소리가 내 쪽을 향해 있고 점점 짜증 내듯이 커져서 설마 날 부르는 건 아니겠지 했는데 나 부르는 거 맞더군요. 전 여기 직원이 아닌데 그러네요. ,그래서 뭐라 했어요? 
195,윤수 언니! 시간 괜찮으시면 오늘은 안 되겠지만 저는 오늘만 아니면 언제든 괜찮은데 녹음에 대한 거 여쭤봐도 돼요? 오늘은 제가 시간이 안 되지만 내일부터 언제든 가능해요.,음. 어떤 건데요? 나도 잘 모르지만 아는 거라면 알려줄게요! 
196,기호성 좋은 고양이 주식캔 추천 부탁해요. 나폴이는 대부분의 주식캔을 싫어하는데 습식사료를 좀 먹일 필요가 있는 상태여서요.,저희 집 냥이들이 먹을 수 있는 습식캔이 점점 줄어들고 있는데 여전히 아보덤 치킨은 엄청 잘 먹어요. 
197,"데이터 무제한 요금제인 줄 알았는데, 데이터 7기가랑 영화 300분짜리 요금제라 조금 시무룩하네요.",기본료 얼마죠? 
198,여러분 잘 지냈나요? How have you been?  ,오빠 어디세요? 오늘 홍대 놀러 와요. 보고 싶단 말이에요! 
199,오늘 어머님이랑 백화점 갔는데 어머님이 여름 모자 사주셨어요. 계획에 없던 쇼핑인데다 가격도 가격이라 괜찮다고 했더니 어머님이 선물하고 싶어서 선물하는 거니까 거절하지 말라고 하셔서 감사히 냉큼 받았어요. 제 모자 진짜 예쁘네요. 내일 당장 데뷔전 치러야겠어요.,인증샷 기대할게요.
200,"초밥 먹고 싶어요. 한국엔 타임세일이 있었던가요, 없었던가요?",이마트에 10시쯤 되면 시작하지 않아요? 
201,혹시 정신과 치료 받아보신 분 있으세요? 괜찮다 싶으면 저도 좀 받아보고 싶네요. ,저요. 저는 솔직히 가격에 비해 엄청 도움 된다고 까지는 못 느꼈는데 치료받는 시간만큼은 편했던 거 같아요.
202,호야초밥 가고 싶어요. ,호야초밥 저도 진짜 좋아해요. 호야초밥 최고예요!
203,오늘 새우튀김 먹었는데 제 인생 튀김 됐어요.,튀김이 너무 예뻐요! 드레스 입은 거 같아요.
204,"오늘은 대전의 숨은 맛 집, 아는 사람은 알아서 가는 이곳을 찾아봤어요.",트위터 보다가 너무나 배고파졌어요. 이번 8월에 대전 갔을 때 꼭 가보고 싶네요. 
205,가져본 적도 없는데 그것보다 필요한 게 채 채워지지도 않았는데 뭘 더 비워야 하나요.,일단 덕후들은 미니멀리즘 못할 것 같아요. 어떤 장르든 굿즈를 갖고 싶은게 덕후 마음이니까요.
206,여러분 치킨 뭐가 맛있어요?,굽네나 교촌 어때요? 
207,오늘 개장한 서울 고가공원에 사람 진짜 많네요. ,다녀오셨나 봐요. 뉴스에서도 봤는데 사람이 어마어마하게 많던데요.
208,제 오랜 애정템인 코겐도 파운데이션보다 톰토드가 아주 약간 더 낫다는 소식인데요. 톰포드가 코겐도보다 피부에 달라붙는 속도가 더 빠르단 느낌이 들어요.,저 목요일에 벼르고 벼르다가 코겐도 파운데이션 주문했는데 아주 조금 톰포드가 좋다면 톰포드로 재주문 할까 봐요! 가격차이는 브랜드가 주는 충족감으로 채워지니까요.
209,"아니, 우리 동네 왜 노래자랑할까요? 시끄럽네요. ",라야님 우리동네 사세요? 지금 저희 아파트는 주민 잔치한다고 노래자랑해요.
210,국밥집은 찾아 갔지만 재료가 부족해서 못 먹고 허탕치고 돌아왔어요. 남은 건 굥기형아의 얼굴과 목소리의 달콤함뿐이네요. ,안녕하세요 묭식님! 내일 대구 어머님 국밥집 가려고 하는데 혹시 언제 휴업일인지 알 수 있을까요? 아무리 찾아봐도 안 나와서 혹시 가게에 쓰여있나 해서요!
