,Q,A
19,"여기서 좀만 가면 나오는 지하식당은 돈가스 8천 원, 회덮밥은 만원이에요.",거긴 보통 가격대네요. 저 거리 고독한 미식가 촬영지 아니에요? 
20,일본어로 써야 해요.,여러분의 도움이 필요해요. 제가 일본 가게 도와주세요.
21,저도요.,진짜 영화는 재밌는데 결말보고 제가 다 억울해서 눈물 나요.
22,요즘 입장료 장난 아니더라고요.,비싸요?
23,그니까요. 이상하게 가게만 오면 머리 아프고 속 안 좋은데 가게에서 밥 먹고 퇴근해서 집 가려고 하면 다 나아요. 만병통치약 대단해요.,그래도 아프지 말아요.
24,싫어요.,그럼 왜 먹자해요.
25,날씨가 이렇게나 좋은걸요.,오늘 반바지 입고 나왔는데 안에만 있으니까 춥네요. 
26,그렇죠. 아주 마음에 들어서 하나 장만하려 해요.   ,고전적인 느낌 최고예요! 가격이 좀 되긴 하는데 확실히 저런 화장대면 저 값 받을 만 하네요.
27,여기로 달려오시면 제가 하나 드릴까요? 아직 먹어보진 않았지만 맛있을 거예요.,달려가고 싶은 마음뿐이에요.
28,근데 전 수박바 녹색 부분만 좋아해요.,떠먹는 거엔 초록색 부분 없어요?
29,친구들 모여서 여행 가면 좋겠어요.,캠핑도 재밌겠고요.
30,네. 금요일에 시내 나가실래요? ,네. 저 언제 도착하면 돼요?
31,일부는 이면 그렇게 많이 들어오지는 않나요? 해외배송 시켜야 한다던가 그러나요? ,전 제품이 다 들어오지 않는다는 말이었어요. 매장은 용산이랑 강남에 있는 거만 알고 다른 곳은 잘 모르겠네요. 생활잡화 많이 들어오는데 무늬 없고 좋아요. 
32,그렇죠! 저 방금 이거 치마도 주문하고 오는 길이에요.,그렇게는 다 얼마에요?
33,아니요. 궁금하고 배워보고 싶긴 한데 조금 부담돼요. 그것 때문에 안 보내주실 거고요.,"아, 가려면 무슨 반 가고 싶으세요? 디자인 반이면 조금 알려드릴 수 있어요."
34,학교 다니고 있었어요?,네? 
35,조각 케이크도 괜찮나요? 도시락은 먹을 기회가 없을 것 같아서 아쉽지만 간식류는 배불리 먹고 오려고요! 전에 먹었던 슈크림은 얼마 안 하는 주제에 파리바게뜨보다 훨씬 실하고 맛있더라고요. 이번에도 최대한 쓸어 먹고 와야겠어요! ,조각 케이크 중에서 딸기 쇼트 케이크이 있어서 사서 먹었더니 일반 제과점에서 파는 것보다 맛있고 가격은 더 저렴하더라고요! 간식류 아주 많이 드시고 오길 바라요!
36,세트 가격 얼마에요?,"단품 4000원, 세트 5900원이에요."
37,세트 가격 얼마에요?,"단품 4000원, 세트 5900원이에요."
38,네. 콜라나 녹차는 잘 먹는데 유독 커피가 그렇네요. 앞으로는 카페인 자제해야겠어요! ,아무래도 커피가 다른 애들보다 카페인이 많아서 그런가 봐요. 아니면 오르조 같은 건 어떠세요? 보리 커피인데 보리라서 카페인도 없는데 커피 맛 나요! 
39,"저 금요일, 토요일은 일정이 있고 오늘은 게임 이벤트 할 거예요.",저야 일정은 한가하니까 일요일이든 평일이든 편하신 대로 하세요. 가게 위치는 잠실 쪽이기도 하고요. 
40,네! 그러면 고맙죠.,돈은 그 날 보고 말해줄게요! 주소는 카톡으로 미리 알려주세요!
41,이게 무슨 일이에요.,그러니까요. 이게 무슨 일이에요 진짜. 내 돈 다 어디 갔어요.
42,저도 반팔 반바지에 샌들 신고 컵라면이랑 만두 사서 들어가고 있네요.,저는 김밥 먹어요.
43,사 먹는 김치로 만들 땐 살짝 볶아서 써보세요! 너무 숨을 확 죽이지는 마시고 아삭한 식감은 살아있게 살짝 볶은 김치를 만들어서 넣어 먹으면 더 맛있어요!,아! 볶음 김치 간 따로 살짝 하셔야 해요. 만능 조미료 다시다면 웬만하면 모든 게 해결돼요.
44,초콜릿도 같이 구워서 가래떡 찍어 먹으면 되는 건가요?,초콜릿에 가래떡이요? 음. 맛있을 것 같기도 해요! 전 꿀을 자주 찍어 먹어서요. 후기 말해주세요!
45,오늘 속이 별로 안 좋아서요.,아 저도에요.
46,네. 조금 아! 조금이라고 하면 거짓말이겠죠? 많이 아쉬워요. 님은 어때요? ,글쎄요. 조금 후련 억울? 단어에 담기엔 너무 복합적이에요.
47,낼 곱창 시켜 먹을 거예요.,부럽네요.
48,가격은 어느 정도 생각하고 계세요? 몇 장 구하세요?,저 5천 원까지 생각 중이고 2장이요.
49,"진짜 맛있어요. 가격도 싸요. 6,500원이에요! ",저 올해 처음으로 주꾸미 먹었는데 빠져버렸어요. 
50,깨기부터 실패했어요!,다시 도전해봐요.
51,근데 여러 명 가도 내는 돈 비슷하던데요? 전 한번 가봤는데 거기는 좀 쌌는데 이름 있는 곳은 진짜 비싸더라고요.,여기랑 다른가 봐요. 우린 그래도 5명 가면 2명이서 하는 거보다 좀 많이 차이 나서 애들 모아서 자주 갔어요.
52,야자 중이었어요. 그러다가 너무 피곤해서 그냥 택시 타고 집 가는 중이에요.,저도 집 가는 중이에요. 학교에서 14시간 있다가요.
53,현재 먼저 문의 주신 분이 계셔서요. 거래 파기가 된다면 다시 글 올릴 예정이에요.,아 그렇군요. 감사해요.
54,저도 고기 먹고 싶어요. 소고기 구워서 먹고 싶어요. 왜 나는 과자밖에 없을까요. 소고기 먹고 싶어요. 부러워요. ,내가 빨리 취직해서 사빈님 소고기 사드려야겠어요. 사빈님 저랑 같이 지도교수님 밑으로 들어오면 고기 먹을 수 있어요! 이리로 와요!
55,스트레스가 너무 심해요.,아. 힘내세요.
56,아 뭐예요. 밤 새려고 했어요.,그럼 다다 다음주 일요일에 제대로 놀까요?
57,배가 아픈 이유는 스트레스 때문이었나 봐요. 네! 마침 편의점이 보이네요. 뭐라도 사 먹어야겠어요. ,네. 기왕 챙기는 거 우유랑 같이 빵도 챙기시거나 되도록이면 든든한 거로 챙기세요!
58,미역국이라도 끓여야겠어요. 계란도 없거든요. 감사해요.,어머님 속 괜찮아지셨으면 좋겠어요.
59,거기도 이쁘긴 이쁘죠! 근데 너무 멀어요!,대명 캠퍼스와 동산병원은 가깝지 않나요? 성서 캠퍼스는 멀어서 저도 자주 탈주해요. 이렇게 말하고 나니 저 완전 불량 학생이네요. 출석 점수가 아슬아슬해요.
60,아직 밖이에요?,네.
61,미쳤어요. 진짜 승민님이 만드신 거예요?,요리사네요.
62,사실 내가 피곤해서 그래요.,얼른 자세요! 
63,돈 아까워서 잘 안 가요.,안돼요. 나도 그랬는데 목감기는 그냥 버티니깐 목소리 이상해지고 오래가고 그래서 빨리 나아야 해요.
64,팀홀튼 가고 싶어요.,아 저는 프랜치 바닐라랑 아이스캡 좋아해요.
65,혹시 딱히 먹고 싶은 것이 없으면 오랜만에 맥도날드 갈까요?,점심때 갈데없으면 맥도날드 가요. 맥도날드에서 먹을 게 없으면 빅맥 먹고요.
66,아 내일은 그냥 혼자서라도 갈려고요!,토요일이요? 마네키 가시나요?
67,그래도 좀 심하다 싶어서요.,아니에요. 저도 심하다 싶었지만 불렀어요. 저는 홈마스터 쓰는데 시간이 추가되면 가격 조정을 하기도 하니까 한번 불러보셔요.
68,나 진짜 바본가 봐요.,피곤했나 봐요.
69,좋은 아침이에요! 학교가요?,네. 체육대회 날이에요.
70,저 대신 맞아주세요.,저 어깨 뭉쳐있는데 딱이죠?
71,등쪽이 안 좋아서 계속 병원 다니고 있거든요.,아. 아프시면 안 되는데 얼른 호전되길 바라요.
72,가고 싶어요.,하와이 바다 가고 싶어요.
73,직장에서 그 색이 가능할까요?,직장인은 검정 갈색 둘밖에 안 되는 거 아닌가요?
74,네.,"와, 좋으시겠어요. 전 바꾸기 전에 18만 킬로 넘게 타다 바꿨어요."
75,그럼 할인 안 하면 칠만 원쯤 될까요?,칠만 구천 원쯤 될걸요? 검색해보면 육만 원대가 대부분이었어요.
76,저 드디어 잔고 0엔 탈출했어요.,드디어 독일에서 돌아왔군요. 너무나 다행이에요.
77,아까 응급실 와서 처치 받고 코피 멎을 때까지 기다리고 있어요!,좀 어지러워요. 빙님은 아프지 마세요.
78,네. 화려한 느낌의 겹꽃인데 요새 피더라고요.,오! 전 아는 꽃이 별로 없어서 슬프네요.
79,저 아직 한 끼도 안 먹었어요. 그래서 우리 가게에서 주먹밥 사가려고요.,스파게티 사가요.
80,뭐 먹으려고요?,뭐 있는데요?
81,막 댓글도 안 달리고 이상해요.,맞아요. 저는 지금 또 글을 불러올 수 없다고 떠요. 핸드폰 바꿀 때가 되었나 봐요.
82,제가 이해력이 부족한 거예요. 아니면 네가 갑자기 딴소리 하는 거예요?,전 부대찌개를 먹었는데 거기 들어가는 소시지나 햄을 숟가락으로 썰어서 넣어서 먹었다고요.
83,14만 원 주고 했어요.,예뻐야 할 가격이네요.
84,그럼 가격은 어떻게 되나요? ,쪽지보세요!
85,저 원래 다음 주 좀 한가했거든요. 당장 항공권 끊고 호텔도 잡았어요. 다행히 국내에요. 남들 여행가는 제주도를 일로 가게 되었지만요.,그나마 국내라니 다행이네요. 바쁜 일정이시겠지만 경치 만끽할 여유라도 있으셨으면 좋겠어요.
86,러컬님두 오늘 하루 잘 보내셨나요? 걸으려고 걸은 건 아닌데 많이 걸었어요. 오늘 노동 힘드네요.,저는 오늘 오랜만에 푹 쉬었어요. 반달님 어제도 피곤하다고 하셨는데 이제 주말이니까 푹 쉬셔요.
87,아니요. 그렇게 멀진 않아요.,남자친구랑 전화하며 걸어가요.
88,지난주부터 슬슬 나오네요.,"아, 모기 진짜 바퀴벌레보다 더 싫어요."
89,일 늦게 끝났어요?,동료들이랑 끝나고 밥 먹었어요.
90,그렇죠. 저 이만칠천 원이 갑자기 공중분해 돼서 찾다가 그냥 기타 지출에 넣어버렸어요.,맞아요. 이미 써버려서 없는 돈 뭐에 썼는지 알아서 뭐하나 이러면서요.
91,내 일은 아닌데 답답하고 당황스러운 일이 보여서요.,우리 모모쟌 어떡해요.
92,감기몸살인 것 같기도 해요. 병원 문 열면 가게요!,9시 땡 하면 바로 병원 가요. 
93,그런 거로 나의 화가 사라지진 않을 거 같아요.,좀 이따가 게임 할래요?
94,대만 가게 되었어요.,대만은 무슨 일로요?
95,네. 저장 많이 해요.,네. 견적 안내해드릴게요 일단 필요 없는 부분에서 가격을 다 뺀 견적이에요. 말씀하신 gta5 검은 사막 등은 상옵으로 무리 없이 가능한 사양으로 고사양 게임을 많이 하실듯 하여 ssd 를 여유 있게 240으로 하였고요. 1테라 하드에 영화나 드라마 노래 저장도 가능하세요.
96,네. 저장 많이 해요.,하시면 되고 윈도우 10 정품 포함했어요! 수정하고 싶거나 궁금하신 거 알려주세요. 
97,신경외과 가서 물리치료 받는 중인데 제가 교대근무라 시간이 없어서 못 가고 있어요. 특히 12시간 근무 때는 더더욱이요.,그래도 꾸준히 받아야 후에 더 큰 병 안 생길 거예요.
98,네. 봤어요! 학생 할인 써보려고 하는데 우리 학교에 메일이 있는지 없는지 모르겠네요.,그랬군요! 학교에 문의해보시고 할인받아서 쓰세요! 저는 학생 할인을 못 받아서 그냥 마스터 패키지 2만 얼마 내고 사용하고 있어요. 
99,제 뱃살로 베개 만들면 천연라텍스 베개에요.,저 말하는 건가 봐요. 제 것도 매우 편해요. 시몬스 침대 같은 편안함이에요.
100,점심은 아직 안 나와서 모르겠지만 늦잠 자면 그냥 좀 불안하네요. ,왜요? 누가 혼내요?
101,네. 행사 무사히 마치시길 바래요.,다음에 또 이벤트 하면 꼭 응모해주세요.
102,토오루쨩 점심 먹었어요?,아니요. 아침도 넘겼고 점심도 아직이에요.
103,샌드위치에요!,별로예요.
104,저는 배구 영상 보는 중이에요. 점심은 먹고 시작한 거죠?,배구 영상이라니 역시 항상 열심히네요! 당연히 밥 먹었죠. 노란색 밥 먹었어요. 
105,아니요. 아직이요.,어서 드세요.
106,엄청 맛있어요.,얼마 정도 해요?
107,그렇죠. 엄청 놀랬다니까요.,갑자기 나도 과자 먹고 싶어졌어요. 나도 반만 먹으려 했는데 정신 차려보면 비어있던데요.
108,"가게마다 좀 다르게 표현해놨더라고요. 원래는 3.0은 3만 원이 맞을 텐데 3,000 약자로 3천 원으로 쓰는 곳도 있어요.",가게 찾아보는데 아무래도 삼천 원인 것 같아요. 가격 너무 착해서 당황했어요.
109,D,E
110,그러게요. 저도 놀고 싶은데 말이죠.,항상 바쁘시던데 언제쯤이면 편하게 쉬시려나요? 휴가철까지 기다려야 하나요?
111,못 살 가격은 아닌데 괜히 망설이게 되네요.,또 방음 안되는 집이면 꺼려지기도 하고요. 괜히 민폐일까 봐요.
112,네. 아직도 부어있어요.,그럼 병원 가보셔야 할 거 같은데요. 저희 엄마도 문에 손가락 끝만 찧었는데 멍들고 부은 게 안 가라앉아서 병원 갔더니 뼈에 금 갔다고 한동안 깁스하고 다니셨어요.
113,10시까지요!,기네요! 힘내세요!
114,저 여름이어서 밝은색 하려고 했다가 탈색해야 한대서 그냥 위랑 밑에 색만 좀 맞췄어요.,아하! 그래도 다음엔 탈색 한번 해보시는 것도 추천해요. 이번엔 안 그랬지만 지지난번 염색약 두피에 닿았을 때 진짜 아파서 죽는 줄 알았어요. 과산화수소수를 머리에 부은 느낌이었어요. 안녕님 염색은 잘 되셨나요? 
115,무슨 아이스크림 홍보 차원에서 나눠주나 봐요. 풍선 대잔치에요!,아이스크림 가게에서 나눠주는 거에요? 우와.
116,영상 보고 있어요. 키친 나이트 메어 중에 재미있는 거 많네요. ,키친나이트 메어 정말 답답한데 재미있죠. 
117,오! 진짜로요? 좋네요. 사람 많았어요? ,2시부터 오픈 인데 딱 2시에 예약하고 가서 웨이팅 없이 들어갔어요. 가게가 금방 차긴 했는데 회전율도 좋고 음식도 그렇게 오래 기다린 느낌은 없었어요. 
118,안 느끼해서 너무 좋아요. 속도 안 쓰리고요!,"먹어도 먹어도 안 질리고, 양념 간장만 잘 만들어두면 계속 먹을 수 있죠! "
119,내일 입금 후 주문 할 예정인데 그럼 입금 할 때 전차스 가격에 배송비로 1000원만 더해서 입금하면 될까요? ,네! 형식에 준등기 항목이 추가 되었고요! 그걸 선택하시고 입금해주시면 돼요! 문의 주셔서 감사해요.
120,주변에 한국인이 없으니 진짜 한국어를 안 쓰게 되더군요.,"저 근데 학교 다닐 때도, 학교에서도, 알바하는 데서도 아는 한국인이 없어서 한국어 못 썼던 거 같아요. 한 명 있었는데 과가 달라서 일주일에 한번 봤어요. 그래서 요즘 문장력이 무너져요."
121,꼭 살 거예요.,충분히 마사지하시면서 바르시면 좋아요. 발바닥에 붙이는 패치까지 붙이고 자면 더 좋고요. 
122,망원에 맛있고 예쁜 거 많아서 너무 좋아요. ,그러게요! 사진 올리신 가게는 처음 보는데 무척 예쁘네요. 
123,불한당을 보러 가지 못한 이유는 피자파티의 유혹 때문이에요.,프로슈토 피자는 천재 맛이에요.
124,저 아이스크림 브랜드에서 홍보로 나왔나 봐요. 갑자기 아이스크림 내밀면서 더우시죠 드세요 하는데 잘생긴 남자들이 막 오더라고요. ,"와, 서울은 지나다니기만 해도 아이스크림을 주는 곳이군요. "
125,저도 멀록 인형 갖고 싶어요.,아기 멀록 가방 밖에 없네요.
126,이틀 뒤에 난 보충 야자를 빼야겠어요.,난 보충은 하고 야자만 빼고 피시방을 가야겠어요.
127,이틀 뒤에 난 보충 야자를 빼야겠어요.,난 보충은 하고 야자만 빼고 피시방을 가야겠어요.
128,폼클렌징이나 크림 같은 거 트러블 케어용으로 사세요. 가격 똑같아요.,그래요?
129,그냥 무시했어요. 사실 직원 아니라고 큰 말할까 했는데 가게가 근처라서요.,고생했네요.
130,어떻게 녹음을 하는 건지 기초적인 거하고 쓰시는 장비 같은 거요! 제 친언니인데 녹음하고 싶어 했거든요. 이번에 녹음 장비라도 집에 미리 구비해볼까 싶고 그래서요.,녹음 방법은 말로 설명해드리기가 너무 복잡해서 어떻게 해야 할지 모르겠어요. 인터넷에 튜토리얼 나와있는 거 보고 해보시는 게 나을 수도 있어요. 장비는 녹음 프로그램을 뭐로 하실 지 부터 정하고 프로그램을 다운로드 하고 나서 생각하는 게 좋지 않을까 싶어요. 마이크는 어디서 녹음하고 가격대 얼마나 생각하고 있냐에 따라서 다를 거 같아요! 아니면 학원 가서 MIDI 한 달만 배워도 괜찮을 것 같고요. 솔직히 제가 글로 알려드려도 옆에서 알려주는 거 아니면 너무 어려워서 학원 한 달 정도면 혼자 녹음하고도 남아요! 
131,69 요금제요.,기본료요. 69요금제가 뭔지 모르겠어요. 
132,너무 늦어요.,저 퇴근하고 한 번 물회 50퍼센트 하던 거 사 먹은 기억이 있긴 해요.
133,진짜요? 엄마한테 말해볼까 했는데 감사해요.,저희는 가족이 단체로 우울증이라 반강제로 한 거긴 한데 안 해보셨으면 한 번 해보시는 것도 좋아요.
134,저는 안 가 봤는데 친구들이 맛있대요. 가고 싶어요. ,저녁시간 때 가면 그냥 계속 기다려야돼요.
135,진짜 예술이죠? 속에 새우가 비칠 정도로 하얗고 얇은 튀김옷이었는데 예쁜 금붕어 같았어요. 새우도 무슨 블랙타이거 새우라고 엄청 크고 그래서 눈도 입도 행복했네요! ,그냥 새우튀김도 맛있고 좋은데 예쁘기까지 하다니 장난 아니네요.
136,미니멀리즘이라니 말도 안 돼요. 필요한 굿즈만 사도 얼마나 많은데요. ,믹서기 하나 사는 데는 아냐 필요 없어. 당장은 안 쓰잖아. 하나 사긴 해야 하는데 이러면서 미루는데 굿즈는 보면 일단 마음에 들면 사버리니까요. 생활가전이나 조리도구나 공구는 늘 부족하고 존잘님 책은 넘쳐요.
137,오! 굽네는 불케이노? 그것밖에 못 먹어봤고 교촌은 하나도 안 먹어봤어요! 뭐가 좋을까요! 꽁치님 추천 메뉴 있나요? ,뭐든 맛있긴 해요. 굽네는 오리지널이나 갈릭만 아니면 괜찮아요. 새로 나온 갈비양념 들어간 것도 맛있고요. 교촌은 간장치킨 좋아해요. 허니 뭐도 맛있고요.
138,그렇죠. 뚜껑도 없이 싸악 올라가는 톰포드 파운데이션을 쓸 때의 기분은 정말 좋죠. 브랜드 파워라는 건 어쩔 수 없어요. 게다가 브랜드 파워를 제외해도 품질이 너무 좋아요.,그 톰포드가 화장대 위에 올라가 있으면 괜히 으쓱해지고 기분이 좋고 기분이 좋고 기분이 좋으면 다 좋은 거죠.
139,"아, 진짜요? 저희는 뭔지 모르겠는데 어디선가 자꾸 노래가 들려요. 가까운 듯 먼듯한 그런 거리에서요.",이 고동소리가 닿는 것인가요?
140,"제가 본 걸로는 첫째 주, 셋째 주였나? 아무튼 월요일이 휴업이라고 적어뒀던 것 같아요! 플리님 빨리 가셔서 저처럼 허탕치지 마세요. 저는 2시 30분에 갔어요! ",2시 30분에 가셨는데도 재료가 없었나요? 그렇게 일찍 갈 수 있을진 모르겠지만 감사해요. 다음에 묭식님도 꼭꼭 드시길 바랄게요.
141,지금 영천이에요. 오늘 아빠 덕에 맛있는 거 잔뜩 먹었어요. 고마워요. ,아버지 노릇 제대로 하고 가니 왠지 뿌듯한걸요?
142,"아, 그거 저희 집 근처에 새로 열어서 가봤어요! 정말 맛있더라고요!  ",아직 안 가봤는데요. 부러워요.
143,가격은 정말 너무나 매력적이에요.,저 상의만 세 개 질렀어요.
144,왜요? 몇 시간 걸리죠? ,3시간 조금 넘게 걸려요. 전 왜 지방에 살까요? 
145,같은 차에 타고 있어서 지금 몸이 좀 뻐근해요. 주사 맞고 약 먹고 쉬는 중이에요.,교통사고 후유증 위험하니까 아픈 곳 생기면 병원 꼭 가세요. 
146,그렇죠. 너무 아기자기하고 예쁘게 나오는것 같아요! 분위기도 좋고 괜찮은 것 같아요. ,"바인데 되게 카페같이 아기자기한 느낌이고, 칵테일 색도 상큼해서 너무 예뻐요. "
147,이길 때까지 가려고요.,내일도 가시나요? 
148,안돼요. 우유 살 돈이 없어요.,안됐네요.
149,그렇네요. 확실히 오랜만이네요. 너무 바빠서 잘 오지도 못 한 것 같고 말이지요. 어때요? 프로듀서씨는 잘 지냈어요? ,네! 비록 날이 상당히 더워서 고생이지만 어느덧 담당 아이돌이 둘이나 생겼어요. 
150,잘생겼고 사회를 귀엽게 보더라고요.,그 분 비담에서 보여준 사상이나 생각이 좀 괜찮은 거 같아서 좋아요! 공연은 좋으셨나요? 저는 클래식 보러 간 적은 없어서 아세님이 신기하기만 했어요. 
151,아쿠아펠리스 왜 다들 너무 비싸다는 반응일까요?,글쎄요? 난 바다도 보이고 있을 거 다 있고 넓고 시설도 괜찮아서 나쁘지 않던데요. 근데 밤 9시 넘어서 들어가는 거랑 가격 차이 있는 걸로 알고 있긴 해요. 
152,잔인하군요! 아녜요! 딱히 관리 안 해도 된다고 했는데요. 후시딘 앞뒤로 몇 번 바르라고만 했는데요! ,저도 처음에 노란 진물이 나오기 전까지는 그랬죠.
153,어디 사는데요?,경기도 하남 살아요!
154,윰넴 어쩌죠? 저 방광이 터져버릴 것만 같아요.,그냥 갔다 와요.
155,아니요. 소화제 안 먹고 명랑핫도그 먹고 있어요.,명량핫도그 엄청 맛있어요.
156,진짜 영화에 한참 심취해 있는데 갑자기 카톡!카톡! 오면 짜증이 나죠. 한 번이면 괜찮은데 왜 그 후에 소리를 안 줄일까요? 진짜 예의 없는 사람 많더라고요.,전화받는 사람들도 있어요. 힘들죠 진짜. 그렇게 영화 볼 거면 그냥 집에서 보지 왜 영화관 와서 민폐일까요? 
157,원하는 정도의 꼬들함하니 슈의 라면가게 하는 기분이군요.,그렇죠. 슈의 라면가게랑 비슷하죠.
158,네. 가게에 맡겼어요. 근데 안돼요 자꾸. 재설치만 두 번째에요.,소리 많이 난다는 건 어디서 많이 난다는 거예요? 그리고 막 틱 하고 꺼지는 건 파워 쪽 문제인것 같은데요.
159,저거는 꼭꼭 씹어 먹어야 소화 흡수가 더 잘 돼서 좋아요. ,거짓말하지 마세요!
160,응. 오늘 슈퍼두퍼랑 둘 다 갔다 왔어요. ,저 슈퍼두퍼는 포기했어요. 
161,진짜 그런 거 같아요. 근데 공정무역 제품 구하기 너무 힘들고 괴롭네요.,아름다운 가게 제외하면 오프라인 상점이 없어서 힘들죠. 일반 카페는 갈 수도 없어지고요.
162,아 가게마다 다른 건가요. 저희 동네는 평범하게 해달랬더니 살인병기를 보내주던데요.,점포마다 조금씩 다른 것 같긴 해요. 노량진하고 종각하고 신논현 언저리에서 먹었었는데 조금씩 매운 강도가 다르긴 한 거 같더라고요. 
163,밥은 하루에 한 끼죠! 근데 마감 때는 이렇게 되더라고요. 일하고 나면 피곤한데 배는 고프고 밥 먹으면 이제 못 자고요. 이런 게 반복돼서 불면증이 되네요.,안 되겠네요! 만나면 고기파티에요! 
164,네. 지금요.,가족이랑요? 
165,진짜 재미있어요. 남지현의 러블리함과 지창욱 얼굴도 보셔야죠! 그리고 권기영 작가 제가 좋아해요.,화면에 뜨는 창욱 볼 때마다 흠칫하네요. 보겠어요. 봐야죠.
166,오오. 신기한 거 많네요. 돌아오는 목요일 아니면 토일에 서울 갈 일 생겨서 그때 같이 가볼 분 있으면 가볼까 생각 중이에요. 정확히 언제 갈진 월요일에 정해지지만요. ,언제 한 번 보면 좋을 텐데요. 저번에 감기 걸렸어서 못 봤잖아요. 그리고 어쨌든 초밥 뷔페에 생선 아닌 거 많아요. 
167,일반 식당 비싸지 않나요? 저 날생선 못 먹어서 고기나 새우 초밥 같은 것만 먹을 수 있어서요. ,근데 비싼 만큼 맛있어서요. 뷔페는 아무래도 질이 떨어지니까요. 그러면 그냥 뷔페 가는 게 나으실 수도 있어요.
168,아 오사카를 갔군요. 고마워요.,단쉰 도쿄 가요? 그럼 조금 더 넣어도 되고 그대로 가도 돼요. 쇼핑할 생각하고 있으면 더 들고 가세요.
169,저 오늘 오후 한시 반에 까치님이랑 만나서 이태리 돈가스집 가구 부탄츄도 가고 피시방 가서 게임도 하기로 했어요! ,이태리 돈가스집이 뭐예요? 
170,네. 근데 저 정도로는 맵지 않아요.,비주얼은 매우 위풍당당하게 매워 보여요.
171,공기청정기가 뭔가 정신적인 만족감을 주는 것 같아요. 몸으로 와닿는 것까지는 제가 둔해서 그런가 잘 모르겠는데 약간 집에서 안심하고 살아가는 힘이 돼요. 계속 돌아가는 것 보니까 공기가 안 좋기는 하구나 싶기도 하고요.   ,저도 정신적 만족 느끼고 싶어요. 미세먼지 앞으로도 계속 기승일 것 같아서 필수 가전으로 하나 장만해야 할 것 같은데 뭘 살지도 고민되네요.
172,본체에 들어가는 메인보드가 단종된 거라 중고로 사고 있었는데 중고가 6만 원이래서 자꾸 고장 나니까 막 짜증 나서요! 아예 바꾸던가 없애던가 해야 될 것 같아요. ,지금 있는 컴퓨터 부품들 이름 알아요? 내 것 메인보드 바꿔서 예전 것 안 쓰는게 하나 있긴 한데 좀 옛날 거라 구리긴 하지만 소켓 맞으면 줄 수도 있긴 해요! 
173,바닥에서 자고 있는데 허벅지에 스치는 느낌 나서 벌떡 일어나 보니까 근처 구석으로 그리마가 기어가더군요. 자라님도 조심하세요.,와 진짜 상상만 해도 온몸에 닭살 쫙 돋는 거 같아요. 우린 친해질 운명이 아닌가 봐요. 그리마라니 탱자님 놀라셨겠어요. 그리마는 잡으셨아요? 
