,Q,A
79,그럼 윤수 언니는 어떤 프로그램과 장비를 쓰세요? 번거롭게 해드려서 죄송해요. 윤수 언니는 녹음실을 따로 가지고 있으신 거예요? ,네. 저는 학원에 있는 녹음실에서 주로 하고 있어요! 장비는 제가 지금 녹음실이 아니어서 정확히 기억이 안나는데 내일 가서 보고 알려드려도 될까요? 아니면 마이크나 장비 얼마 정도로 생각하고 계세요? 
80,이거요. 69000원에다가 부가세 포함해서 이 가격인데 이건 맞아서 그냥 쓰려고요.  ,"아, 이거 옛날 비디오 요금제인가요?"
81,물회는 좀 그래요.,그런 거 아니면 그 늦은 시간도 할인율이 생각보단 별로예요.
82,한가할 때 가봐야겠어요.  ,네. 사람 적은 시간에 가시는 거 추천해요.
83,튀김옷이 엄청 바삭한데 삼삼하게 달았어요! 과자 알새우칩을 얇게 저민 것처럼요. 가게도 엄청 심플하고 딱 라면 4개랑 새우튀김만 하는 가게더라고요. 그래서 뭔가 장인 정신이 느껴졌네요. 개미님도 대전 오시면 나중에 꼭 들러보세요! ,진짜 맛있을 거 같아요. 대전 가게 되면 꼭 기억해뒀다가 호엥님한테 물어볼래요. 대전 새우튀김 기억할게요.
84,저도 그렇게 독립 1년째인데 믹서기가 없네요. 독립할 때 엄마한테 사 달라 할 걸 그랬어요. 굿즈나 예쁜 건 너무 가지고 싶은 게 많잖아요? 그리고 그때 안 사면 영원히 가질 수 없어요.,맞아요. 굿즈는 지나가면 없거나 값만 올라요. 믹서는 회사 분께 얻었다는 기쁜 소식 전해요. 근데 다리미도 없어요. 없어도 살만하던데요. 이게 바로 미니멀리즘인 것 같아요.
85,"네. 저 지금 파운데이션, 립 칼라, 립스틱  베이스, 블러셔 이렇게 톰포드 거 있는데 나머지도 사서 톰포드로 풀 메이크업해보고 싶어요.",그것은 꿈의 톰포드 원 브랜드 메이크업이네요! 그런데 아이섀도는 생각보다 더 별로예요. 이름값 믿고 샀는데 너무 블렌딩이 안돼서 같은 값이라면 끌레드뽀보떼가 훨씬 더 좋았어요.
86,사자님이 가까이 있는 것만 같아요! 같은 고통을 느끼고 있어요!,우리는 실제로도 예전보다 지금이 조금 더 가깝지요.
87,자수성가를 외치던 아빠가 아니에요. 최고예요!,한 번쯤은 가훈에서 벗어나도 되지요. 하지만 우리 딸내미는 가훈에서 벗어나면 안 돼요. 
88,정말 맛있고 빵이 정말 부드러워요. 기회 되시면 꼭 드세요! 다만 좀 비싼 감이 없잖아 있긴 하지만요.,비싼 건 어쩔 수 없어요.
89,전 11시에 출발할 예정이었어요.,경기도 살지 않아요? 
90,홍대 친구네 집 빈 날 2호점이에요! 홍대 상수 쪽 나오실 일 있으면 한 번쯤 고려해보세요! ,과연 갈 일이 있을지 모르겠지만 주변 가게 되면 가볼게요. 
91,내일은 안 가요. 이제 6월에 고척으로 가려고요. ,그땐 꼭 이겨야겠네요.
92,화장실 가고 싶어요.,빨리 못 다녀와요? 아르바이트 중이에요? 
93,정말요? 그것 참 기쁜 일인 걸요? 축하해요.,요시노님에 이어서 카에데씨까지요! 
94,저도 예술의 전당 출입한지 이제 일년 조금 넘었는걸요. 홍보 목적이 큰 무료공연이라 그랬는지 윌리엄텔 서곡 같은 대중적인 곡이 많았는데 이런 곡 들으면서 손뼉 쳐본 건 처음이네요. 캐주얼하고 즐거웠어요. 예당 야외공연장에서 무료 공연 종종 있으니 동선 맞으시면 나중에라도 한번 들러보세요. 앞으로 일정은 모르지만 내년 이맘때 되면 발레랑 오페라 갈라 또 있을 거예요.,발레 한 번 보고 싶어요. 빨리 돈 버는 사람이 돼야 이거 하고 싶다 했을 때 하겠지요?
95,뭐예요? 관리 그럼 어떻게 해요? ,그냥 잘 하시면 돼요.
96, 돈 통 털림을 무릅쓰고 갔다 왔어요. 심장이 쫄깃쫄깃하네요. ,근데 언제 마쳐요? 
97,진짜로 꿀맛이에요. 모차렐라가 제일 맛있어요.,나는 가래떡이 제일 맛있어요.
98,와! 전화받는 사람도 있어요? 완전 사이코 아니에요? 매우 짜증 났겠어요. 저라면 한 대 쳤을 것 같아요.,있어요 진짜. 그리고 영화 보는 사람 중에 옷으로 가리면 불빛 안 보이는 줄 아는 사람 꼭 있어요. 아뇨. 다 보여요!
99,꼬들꼬들한 라면이 먹고 싶을 뿐인데 말이에요.,맞아요.
100,본체요. 재부팅하고 다시 접속 시도하면 클라이언트 패치에 문제 생겼다고 안된대요.,물론 본체죠. 본체에서 어디인지를 묻는 거예요. cpu 성능이 오른만큼 쿨러 돌아가는 게 빨라져서 소리 커지면 당연한 거예요. 틱하고 꺼지는 건 어떻게 꺼져요? 그냥 화면 팍 나가고 자기 알아서 켜지는 거예요? 
101,왜요! 배너 완전 예뻐! 할리갈리 더 사고 싶었는데 품절됐어요.,시간 없어서요.
102,다른 데서 먹을 때는 좀 주의해서 먹어야겠네요. 어쩐지 매형이랑 누나가 분당에서 자주 시켜서 먹는 걸 알아서 평범하게 시켰는데 그 날 매형 욕하는걸 처음 봤거든요.,이게 이상한 게 인터넷 보면 아르바이트가 퍼뜨린 떡볶이 조리법 이런 거 나오잖아요. 그럼 분명히 본사 매뉴얼이 있는 것일 텐데 이상하게 맛이 제각각이에요.
103,고기파티요? 저 고기 먹은 지 한참 됐어요. 너무 먹고 싶네요. 근데 왜 살은 안 빠질까요. 당을 많이 먹어서 그럴까요? ,진짜 고기 좀 먹여야지 어떡해요. 살은 안 빼도 괜찮아요. 빼든 안 빼든 몸이 건강하기만 하다면야 말이죠. 몸 좀 챙기세요. 이러다 병 얻겠어요. 
104,네. 가게 끝내는 거 도와주고 왔어요. ,아. 다음에 나랑도 같이 가요.
105,아 근데 진짜 끝이에요. 지구 부실 것 같아요.,와! 미모 실화일까요? 저 힐러 보고 죽을 뻔했거든요.    
106,저는 여태껏 초밥 뷔페에 생선만 있는 줄 알았어요. ,저도 예전에 그랬어요. 
107,네. 그러려고 하는데 같이 가는 친구가 디즈니랜드 가재서 돈 더 들 것 같아서 예산을 못 잡겠어요. 오사카는 가 봤는데 도쿄랑 오사카 물가도 다르고요. ,디즈니랜드라니 대단하네요! 디즈니랜드에서 디즈니 풀코스 먹어보시고요. 그럼 80만 원 잡아도 되지 않을까요. 
108,그런 거 하는 집이 있나 봐요. 저도 처음 봤어요! ,맛있겠네요. 역시 홍익대학교는 홍익대학교 학생이 제일 모른다니까요. 
109,청양고추가 들어가야 매운데 그건 아니라서요. 저는 엽기 떡볶이도 안 매워하는 입맛이긴 해요.,그러다 보니 먹을게 줄어요. 매울까 봐 맵냐고 물어봤는데 안 맵다고 해서 시켰더니 매워서 기분 상해 가지고 안 가는 가게들 좀 있어요.
110,저는 계속 찾다가 가격도 그렇고 그냥 LG 걸로 20만 원대 제품 샀는데 더 찾아보니까 무슨 필터가 더 높은 걸로 사야 미세먼지를 완전 감지할 수 있다고 하더라고요. 급하게 샀다는 생각도 드는데 에라 모르겠다 했어요. 내일 제가 그게 무슨 필터인지 다시 찾아보고 말씀드릴게요. 이왕이면 좋은 것 사야 되니까요.,감사해요. 필터 등급 같은 게 있는지 몰랐어요. 저 그냥 아무거나 사려고 했는데 감사해요.
111,그리마도 가려서 사귈까요? 아니요. 아빠 막 깨워서 방으로 모시고 왔는데 장롱 밑으로 들어가 버리는 걸 마지막으로 보고 지금까지 한 번도 못 봤어요.,막 다시 나와서 타고 올라오는 건 아니겠죠? 에프킬라 어디 있죠?
112,전 저 가격이면 기본 10개는 사요.,저희 집 냉장고 정말 작아서 두 개가 겨우 들어갈 지경이에요.
113,저처럼 두 번 끊으시죠.,안 돼요. 바꾸는 가격 너무 비싸요. 
114,저 지금 줄 서고 있서요.,저 지금 가고 있는데 사람 얼마나 있나요?
115,겔랑 좋은데 용량 매우 작고 엄청 비싸죠. 저 사실 지금 겔랑 란제리 드뽀 어두운색 샘플이 생겨서 컨투어링으로 쓰고 있어요. 저는 한국 가면 미샤 제품은 이탈리아 프리즘 테스트해 보고 싶어요!,저도 이탈 프리즘 제품들 너무 궁금해서 이번에 섀도 3개 정도 사서 써보려고요.
116,한국에서 쓰는 폰 번호를 정지 시켜놔서 아무 것도 못해요 이 폰으로는. ,그냥 유심만 바꾸면 되는거 아녜요?
117,게머즈 구경하다가 호랑이 구멍 열리면 달려갈 생각이에요. 10시에 여니까요. 그나저나 100엔 동인지 진짜 몇 층인지 모르시나요. 어제 두 시간 찾아봐도 안 보이던데요. ,찾아봐도 없었다면 그냥 없는 거예요.
118,짭짤하고 맛있었어요! 아버지랑 나랑 둘 다 아 이게 이런 맛이구나 하면서 잘 먹었어요! ,다행이네요. 내가 만든 건 소금 숯덩이었는데요. 역시 요리는 손맛인가봐요.
119,겨우 일어나서 이제 준비했어요. 점심은 이치란으로 가려고요.,어제 먹었었죠. 맛있었어요. 규카츠도 먹어줘요. 
120,난바에서 라이브회장까지 그렇게 어려울까요?,"어렵진 않을 것 같아요. 난바역이 jr, 한신 다 있다고 하니까 JR타든 한신본선 타든 둘 중 편해 보이는거로 타고 가면 될 것 같아요. 고베 갈 땐 직행이 있으니까 보통 30분쯤 걸릴 것 같은데요? "
121,가고 싶어도 못 간다고요. 돈 망했으면 좋겠네요.,진짜 우울해요. 
122,아. 빨리 4시가 지나길 바라요.,거긴 맛이 보장이 안 돼서 그냥 집에 있는 재료로 스파게티 해 먹으려고요.
123,응? 뭐가 미쳤어요?,가격이 너무 말도 안 되네요.
124,언니 늦어요? 왜요.,좀 더 늦은 오후에 가게 될 지 아직은 잘 모르겠어요 . 근데 현장판매도 하니까요. 일일권이었죠? 애랑 남편이랑 다 같이 갔다가 애랑 남편만 좀 일찍 떠나게 될지도 모르겠네요.
125,아 쇼트커트를 마무리로 앞으로는 자르지 않을 거예요! ,그 말을 전 6년째 하고 있어요.
126,느끼해서 설레는 숢님 저희 가게 오시면 그냥 한 판 드릴께요. 슒님 티라미수도 맛있을 것 같아요! ,가 보고 싶네요. 저는 사실 티라미수를 먹어본 적도 만들어 본 적도 없어서 엄청 궁금해했었어요. 요번에 크림치즈 마스카포네 구매해서 만들어볼까 고민 중이지만요. 느끼함 너무 좋아하는데 정말 궁금하네요.
127,있어요? ,네. 세상에서 제일 맛있는 아이스 메론빵일 거예요.
128,맞아요!,좋겠어요. 회사에서 잠깐 일하고 가는 거예요? 
129,"돈가스집, 분식집, 중식집 있어요.",일단 구의역이에요 지금.
130,유월님 엔제 원고 얼마나 쓰셨나요? 우리 파이팅 해요. 전 일단 쓰는 만큼만 쓰고 보내보려고요. ,저 이제 1190자에요. 지금 일단 미친 듯이 달려 보고 나중에 수정하려고요.   
131,국방부 시계 안 간다고 네가 그러지 않았어요? ,들켰네요.
132,그늘 같은 곳 있으면 꼭 들어가 있어요. 선글라스도 꼭 쓰고요. 지금 집 안인데도 밖이 되게 눈부셔요. ,지금 에어컨 있는 데로 왔어요. 이따 3시 10분 기차로 광주 가니까 저녁에 세하 볼 수 있을 듯하네요.
133,근데 진짜 힐러 들고 힐 안 주고 공격하는 유저 만나면 짜증 나요. 힐팩 주어 먹고 다니는 시간에 더 공격할 수 있는데 못하니까요. 총 쏘는 게 좋으면 딜러 하는 게 어때요? 솔저 같은 애들이요. ,아니에요. 나 공격하면서 피 없는 사람들한테 바로바로 힐 줬어요. 조금만 달아도 바로 달려가서 힐 줬어요. 
134,나올 수 있어요?,있을 것 같아요.
135,오! 바다보여요? 그건 또 즐겁겠네요! ,"네. 코시엔 구장도 보이고, 아침에서 점심 나절 전으로 걸쳐 가다 보면 반짝반짝 그래요. "
136,집 근처에 나가도 구멍가게 하나 없는 수준이에요? ,아뇨. 그건 아니고 일부러 농토나 집 안에만 틀어박혀 있으면 속세를 떠난 것처럼 느껴져요.
137,난 아침부터 일을 나와야 해서 우유만 먹고 아직 못 먹었어요. ,아침은 잘 챙겨 드시는 게 좋은데요. 
138,"진짜 그런 거 같아요. 아, 진짜 맛있어요. 저 그냥 안주 없이 쭉쭉 마시는 중이에요. 아니 여태껏 사과 맛을 모른 나 자신이 너무 멍청했던 것 같아요. ",맞아요. 안주 없어도 쭉쭉 들어가요. 얼음이랑 탄산수랑 저렇게 먹으면 더 그러겠네요. 나도 얼마 안 됐어요. 나온 지 일 년도 넘었던데 뭐하고 산 걸까요.
139,무슨 일 있으신가요? ,영화 시작이 4시 50분이에요. 정말 왜 이리 빨리 왔을까요? 
140,네. 오늘 점심 메뉴는 비빔면 좀 사 먹어야겠어요. ,훗. 전 표면을 먹겠어요. 
141,"네? 아, 정말 살기 팍팍하네요. 저녁 회식 정말 싫죠. 아이고 너무 고생 중이잖아요.","아, 진짜 이번 회식에서도 너무 심한 소리를 많이 들어서 계속 회사에 정이 떨어져요."
142,적더라도 바람이 계속 불어와주니까요. 스프링필드는 뭐 하시는 중이셨어요?,식사 중이었어요. 리프 지휘관은요? 
143,그래요.,이만 원 이상 배달이래요. 장난치는 걸까요? 
144,육회는 없고 소 잡는 도축장은 있네요.,정모 날에 육회 먹으러 가요.
145,탱고 추는 여인 같은 거요. 그럼 부에노스아이레스로 하죠. 사실 어디든 상관없을 것 같아요. 이 찜통에서 내릴 수만 있다면요. ,덥긴 하죠. 이게 좀 안 좋은 점이에요. 군에서 오셨다더니 영어를 잘 하시는군요. 열기에는 익숙하지 않으신가 봐요? 
146,언니요! ,나 말고 있는 게 없어요.
147,나는 일하는 중이에요. 현생이 쉬지 말래요. ,현생 쳐내요. 일요일에는 언니도 쉬게 해줘야 할 텐데요. 
148,다음에 만나게 되면 제가 엄마한테 해달라하고 싸갈게요. 웃기네요.,경기도 좋으니까 상추튀김 싸서 한번 와요. 같이 아트리움도 가고요. 
149,아사쿠사에 연등 있잖아요. 엄청 큰 거요. ,센소지 말하는 거예요?
150,"가려 먹는 건 둘째치고 아이스 아메리카노, 특히 얼음을 그만 먹어야 해요. 얼음 때문에 더 그런 거라서요. ",얼음 때문에요?
151,"아, 홍대역이에요? 한복은 빌리는게 아니고 판매하는 건가요? ",자세히는 제가 안 봐 가지고 모르겠지만 대여하는 곳은 아닌 것 같았어요. 
152,진짜 필터 없는 뇌 너무 불쌍하네요.,언니 욕봤어요. 진짜 뇌 없는 사람들이랑 상종하며 살기 싫네요.
153,일요일이니 모처럼 시켜드시면 어떠실까요! ,돈이 없어서 어디 가지도 못하고 다른 것도 사지 못하는 상황입니다.
154,그렇죠. 안 그래도 안 맞아서 다음달부터 안 다니려고요. ,다른 곳 다니시게 된다면 꼭 좋은 분에게 배우길 바랄게요! 다다님 만나는 분들은 다 좋은 분이시기를 빌어요.
155,가요!,갈까요?
156,저것도 겨우 찍었어요. 사회자님이 가리고 사람들이 가려서요. 얼굴을 보여주세요. ,진짜 싫네요. 내 가수였으면 구시렁구시렁 욕하고 있었겠지요.
157,근데 뭔가 아쉽네요. ,여름이니까 시원하게 똑 단발은 어때요? 
158,그렇죠. 학교 가죠. 내일 볼까 했는데 안되겠네요. 고미 학교 다니라 힘들죠? 복숭아 없었어요. 그것 때문에 갔는데요! ,학교 이제 곧 폭풍이겠지만 아직까진 괜찮아요! 복숭아 기대했는데 아쉬워서 어떡해요. 만나서 상세한 얘기를 들어야 하는 거였는데요. 
159,맞아요!,번데기 다 먹고 국물 마시던 게 꿀이죠. 근데 이젠 금값이네요.
160,아뇨. 맨 처음에 김태균이 몸에 공 맞았는데 아마 사과 안 했다고 마운드 올라가서 벤치클리어링 짧게 했다가 다음 타석 로사리오 또 몸에 맞아 가지고 벤치클리어링 일어났어요.,웃기네요. 이따 영상 찾아봐야겠어요. 
161,웃기네요.,뭐뭐 사셨어요?
